,Name,sci_name,order,family,genus,sci_n_year,year,altitude,populate,habitat,conservation,other_names,IUCN_link,Scientist,founded
534,Auckland Teal,Anas aucklandica,anseriformes,anatidae,anas,"(Gray, 1844)",3.4 years,,Stable,"Grassland, Wetlands (inland), Marine Intertidal",Near Threatened,"Auckland Teal, Brown Teal",https://www.iucnredlist.org/species/22680280/194816119,Gray,1844
535,Campbell Teal,Anas nesiotis,anseriformes,anatidae,anas,"(Fleming, 1935)",5.13 years,200 metres,Stable,"Forest, Grassland, Wetlands (inland), Marine Intertidal, Marine Coastal/Supratidal",Vulnerable,"Campbell Teal, Campbell Island Teal",https://www.iucnredlist.org/species/22724580/171601774,Fleming,1935
536,Madagascar Teal,Anas bernieri,anseriformes,anatidae,anas,"(Hartlaub, 1860)",6.6 years,200 metres,Decreasing,"Forest, Savanna, Wetlands (inland), Marine Neritic, Marine Coastal/Supratidal",Endangered,"Madagascar Teal, Bernier's Teal",https://www.iucnredlist.org/species/22680252/92852755,Hartlaub,1860
537,Cape Teal,Anas capensis,anseriformes,anatidae,anas,"Gmelin, 1789",6.6 years,,Increasing,"Wetlands (inland), Marine Neritic, Marine Intertidal, Marine Coastal/Supratidal, Artificial/Aquatic & Marine",Least Concern,Cape Teal,https://www.iucnredlist.org/species/22680145/92846056,Gmelin,1789
538,White-cheeked Pintail,Anas bahamensis,anseriformes,anatidae,anas,"Linnaeus, 1758",6.4 years,"2,500 metres",Decreasing,"Wetlands (inland), Marine Neritic, Marine Intertidal",Least Concern,White-cheeked Pintail,https://www.iucnredlist.org/species/22680287/92853819,Linnaeus,1758
539,Red-billed Teal,Anas erythrorhyncha,anseriformes,anatidae,anas,"Gmelin, 1789",6.6 years,,Decreasing,"Grassland, Wetlands (inland), Artificial/Terrestrial, Artificial/Aquatic & Marine",Least Concern,"Red-billed Teal, Red-billed Teal",https://www.iucnredlist.org/species/22680290/92854310,Gmelin,1789
540,Northern Pintail,Anas acuta,anseriformes,anatidae,anas,"Linnaeus, 1758",6.8 years,,Decreasing,"Wetlands (inland), Marine Neritic, Marine Coastal/Supratidal",Least Concern,"Northern Pintail, Pintail",https://www.iucnredlist.org/species/22680301/153882797,Linnaeus,1758
541,Southern Pintail,Anas eatoni,anseriformes,anatidae,anas,"(Sharpe, 1875)",6.6 years,,Decreasing,"Wetlands (inland), Marine Neritic, Marine Intertidal",Vulnerable,"Southern Pintail, Kerguelen Pintail",https://www.iucnredlist.org/species/22680306/92854679,Sharpe,1875
542,Amsterdam Duck,Anas marecula,anseriformes,anatidae,anas,"Olson & Jouventin, 1996",6.6 years,,Unspecified,Wetlands (inland),Extinct,"Amsterdam Duck, Amsterdam Island Duck",https://www.iucnredlist.org/species/22728666/94993378,Olson & Jouventin,1996
543,Yellow-billed Pintail,Anas georgica,anseriformes,anatidae,anas,"Gmelin, 1789",6.6 years,"4,600 metres",Decreasing,"Grassland, Wetlands (inland), Marine Neritic",Least Concern,Yellow-billed Pintail,https://www.iucnredlist.org/species/22680310/92854981,Gmelin,1789
544,Common Teal,Anas crecca,anseriformes,anatidae,anas,"Linnaeus, 1758",3.7 years,,Unknown,"Forest, Shrubland, Wetlands (inland), Marine Intertidal, Marine Coastal/Supratidal, Artificial/Terrestrial, Artificial/Aquatic & Marine",Least Concern,"Common Teal, Eurasian Teal, Teal",https://www.iucnredlist.org/species/22680321/181692388,Linnaeus,1758
545,Green-winged Teal,Anas carolinensis,anseriformes,anatidae,anas,"Gmelin, 1789",3.7 years,,Increasing,"Forest, Shrubland, Wetlands (inland), Marine Intertidal, Marine Coastal/Supratidal, Artificial/Aquatic & Marine",Least Concern,Green-winged Teal,https://www.iucnredlist.org/species/22729498/181562690,Gmelin,1789
546,Andean Teal,Anas andium,anseriformes,anatidae,anas,"(Sclater & Salvin, 1873)",6.6 years,,Decreasing,Wetlands (inland),Least Concern,Andean Teal,https://www.iucnredlist.org/species/22735557/95114680,Sclater & Salvin,1873
547,Yellow-billed Teal,Anas flavirostris,anseriformes,anatidae,anas,"Vieillot, 1816",6.6 years,,Decreasing,Wetlands (inland),Least Concern,Yellow-billed Teal,https://www.iucnredlist.org/species/22736320/95130607,Vieillot,1816
548,Little Grebe,Tachybaptus ruficollis,podicipediformes,podicipedidae,tachybaptus,"(Pallas, 1764)",5.4 years,"1,000 metres",Decreasing,"Wetlands (inland), Marine Neritic, Marine Coastal/Supratidal, Artificial/Aquatic & Marine",Least Concern,Little Grebe,https://www.iucnredlist.org/species/22696545/155540155,Pallas,1764
549,Australasian Grebe,Tachybaptus novaehollandiae,podicipediformes,podicipedidae,tachybaptus,"(Stephens, 1826)",5.4 years,"1,000 metres",Increasing,"Wetlands (inland), Artificial/Aquatic & Marine",Least Concern,"Australasian Grebe, Eastern Little Grebe",https://www.iucnredlist.org/species/22696553/93570492,Stephens,1826
550,Madagascar Grebe,Tachybaptus pelzelnii,podicipediformes,podicipedidae,tachybaptus,"(Hartlaub, 1861)",5.4 years,,Decreasing,"Wetlands (inland), Marine Coastal/Supratidal",Endangered,"Madagascar Grebe, Madagascar Dabchick, Madagascar Little Grebe",https://www.iucnredlist.org/species/22696565/131612478,Hartlaub,1861
551,Alaotra Grebe,Tachybaptus rufolavatus,podicipediformes,podicipedidae,tachybaptus,"(Delacour, 1932)",5.4 years,,Unspecified,Wetlands (inland),Extinct,"Alaotra Grebe, Alaotra Dabchick, Delacour's Little Grebe, Madagascar Red-necked Grebe",https://www.iucnredlist.org/species/22696558/93570744,Delacour,1932
552,Least Grebe,Tachybaptus dominicus,podicipediformes,podicipedidae,tachybaptus,"(Linnaeus, 1766)",3.69 years,"2,600 metres",Stable,Wetlands (inland),Least Concern,Least Grebe,https://www.iucnredlist.org/species/22696571/139199440,Linnaeus,1766
553,Pied-billed Grebe,Podilymbus podiceps,podicipediformes,podicipedidae,podilymbus,"(Linnaeus, 1758)",4.4 years,"3,100 metres",Increasing,Wetlands (inland),Least Concern,Pied-billed Grebe,https://www.iucnredlist.org/species/22696574/138962202,Linnaeus,1758
554,Atitlan Grebe,Podilymbus gigas,podicipediformes,podicipedidae,podilymbus,"Griscom, 1929",5.4 years,,Unspecified,Wetlands (inland),Extinct,"Atitlan Grebe, Atitlán Grebe, Giant Grebe, Giant Pied-billed Grebe",https://www.iucnredlist.org/species/22696577/93572322,Griscom,1929
555,White-tufted Grebe,Rollandia rolland,podicipediformes,podicipedidae,rollandia,"(Quoy & Gaimard, 1824)",5.3 years,"4,500 metres",Decreasing,Wetlands (inland),Least Concern,White-tufted Grebe,https://www.iucnredlist.org/species/22696530/93569948,Quoy & Gaimard,1824
556,Titicaca Grebe,Rollandia microptera,podicipediformes,podicipedidae,rollandia,"(Gould, 1868)",5.2 years,,Decreasing,Wetlands (inland),Endangered,"Titicaca Grebe, Short-winged Grebe",https://www.iucnredlist.org/species/22696533/177993916,Gould,1868
557,Hoary-headed Grebe,Poliocephalus poliocephalus,podicipediformes,podicipedidae,poliocephalus,"(Jardine & Selby, 1827)",5.3 years,"1,000 metres",Stable,"Wetlands (inland), Marine Neritic, Marine Intertidal, Marine Coastal/Supratidal, Artificial/Aquatic & Marine",Least Concern,Hoary-headed Grebe,https://www.iucnredlist.org/species/22696589/93572515,Jardine & Selby,1827
558,New Zealand Grebe,Poliocephalus rufopectus,podicipediformes,podicipedidae,poliocephalus,"Gray, 1843",5.3 years,800 metres,Unknown,"Wetlands (inland), Artificial/Aquatic & Marine",Near Threatened,"New Zealand Grebe, New Zealand Dabchick",https://www.iucnredlist.org/species/22696592/93572730,Gray,1843
559,Great Grebe,Podiceps major,podicipediformes,podicipedidae,podiceps,"(Boddaert, 1783)",7.1 years,"1,200 metres",Stable,"Wetlands (inland), Marine Neritic",Least Concern,Great Grebe,https://www.iucnredlist.org/species/22696596/93573021,Boddaert,1783
560,Red-necked Grebe,Podiceps grisegena,podicipediformes,podicipedidae,podiceps,"(Boddaert, 1783)",7.1 years,"1,000 metres",Decreasing,"Wetlands (inland), Marine Neritic",Least Concern,Red-necked Grebe,https://www.iucnredlist.org/species/22696599/132582688,Boddaert,1783
561,Great Crested Grebe,Podiceps cristatus,podicipediformes,podicipedidae,podiceps,"(Linnaeus, 1758)",7.1 years,"3,000 metres",Unknown,"Wetlands (inland), Marine Neritic",Least Concern,Great Crested Grebe,https://www.iucnredlist.org/species/22696602/154250080,Linnaeus,1758
562,Horned Grebe,Podiceps auritus,podicipediformes,podicipedidae,podiceps,"(Linnaeus, 1758)",7.1 years,"1,000 metres",Decreasing,"Wetlands (inland), Marine Neritic",Vulnerable,"Horned Grebe, Slavonian Grebe",https://www.iucnredlist.org/species/22696606/132066871,Linnaeus,1758
563,Black-necked Grebe,Podiceps nigricollis,podicipediformes,podicipedidae,podiceps,"Brehm, 1831",7.1 years,"2,500 metres",Unknown,"Wetlands (inland), Marine Neritic, Artificial/Aquatic & Marine",Least Concern,"Black-necked Grebe, Eared Grebe",https://www.iucnredlist.org/species/22696610/132584321,Brehm,1831
564,Colombian Grebe,Podiceps andinus,podicipediformes,podicipedidae,podiceps,"(Meyer de Schauensee, 1959)",7.1 years,,Unspecified,Wetlands (inland),Extinct,Colombian Grebe,https://www.iucnredlist.org/species/22696615/93574182,Meyer de Schauensee,1959
565,Northern Silvery Grebe,Podiceps juninensis,podicipediformes,podicipedidae,podiceps,"Berlepsch & Stolzmann, 1894",4.9 years,"5,000 metres",Decreasing,Wetlands (inland),Near Threatened,Northern Silvery Grebe,https://www.iucnredlist.org/species/62114603/181449214,Berlepsch & Stolzmann,1894
566,Southern Silvery Grebe,Podiceps occipitalis,podicipediformes,podicipedidae,podiceps,"Garnot, 1826",7.1 years,"1,500 metres",Decreasing,"Wetlands (inland), Marine Neritic",Least Concern,Southern Silvery Grebe,https://www.iucnredlist.org/species/62114375/95188711,Garnot,1826
567,Junin Grebe,Podiceps taczanowskii,podicipediformes,podicipedidae,podiceps,"Berlepsch & Stolzmann, 1894",4.9 years,,Decreasing,Wetlands (inland),Endangered,"Junin Grebe, Junín Grebe, Puna Grebe",https://www.iucnredlist.org/species/22696623/179685461,Berlepsch & Stolzmann,1894
568,Hooded Grebe,Podiceps gallardoi,podicipediformes,podicipedidae,podiceps,"Rumboll, 1974",7.1 years,,Stable,"Wetlands (inland), Marine Neritic",Critically Endangered,Hooded Grebe,https://www.iucnredlist.org/species/22696628/145837361,Rumboll,1974
569,Western Grebe,,podicipediformes,podicipedidae,aechmophorus,,8 years,"2,500 metres",Stable,"Wetlands (inland), Marine Neritic, Marine Coastal/Supratidal, Artificial/Aquatic & Marine",Least Concern,,https://www.iucnredlist.org/species/22696631/139355294,,
570,Clark's Grebe,Aechmophorus clarkii,podicipediformes,podicipedidae,aechmophorus,"(Lawrence, 1858)",8 years,"2,500 metres",Decreasing,Wetlands (inland),Least Concern,Clark's Grebe,https://www.iucnredlist.org/species/22696634/93575258,Lawrence,1858
571,Greater Flamingo,Phoenicopterus roseus,phoenicopteriformes,phoenicopteridae,phoenicopterus,"Pallas, 1811",16.3 years,,Increasing,"Wetlands (inland), Marine Neritic",Least Concern,Greater Flamingo,https://www.iucnredlist.org/species/22697360/155527405,Pallas,1811
572,American Flamingo,Phoenicopterus ruber,phoenicopteriformes,phoenicopteridae,phoenicopterus,"Linnaeus, 1758",12.65 years,,Increasing,Marine Coastal/Supratidal,Least Concern,"American Flamingo, Caribbean Flamingo",https://www.iucnredlist.org/species/22729706/138951737,Linnaeus,1758
573,Chilean Flamingo,Phoenicopterus chilensis,phoenicopteriformes,phoenicopteridae,phoenicopterus,"Molina, 1782",15.3 years,,Decreasing,"Wetlands (inland), Marine Neritic, Marine Intertidal, Marine Coastal/Supratidal",Near Threatened,Chilean Flamingo,https://www.iucnredlist.org/species/22697365/132068236,Molina,1782
574,Lesser Flamingo,Phoeniconaias minor,phoenicopteriformes,phoenicopteridae,phoeniconaias,"(Geoffroy Saint-Hilaire, 1798)",15.5 years,,Decreasing,"Wetlands (inland), Marine Neritic, Marine Intertidal, Marine Coastal/Supratidal, Artificial/Aquatic & Marine",Near Threatened,Lesser Flamingo,https://www.iucnredlist.org/species/22697369/129912906,Geoffroy SaintHilaire,1798
575,Andean Flamingo,Phoenicoparrus andinus,phoenicopteriformes,phoenicopteridae,phoenicoparrus,"Philippi, 1854",10.1 years,"4,500 metres",Decreasing,"Wetlands (inland), Artificial/Aquatic & Marine",Vulnerable,Andean Flamingo,https://www.iucnredlist.org/species/22697387/182422217,Philippi,1854
576,Puna Flamingo,,phoenicopteriformes,phoenicopteridae,phoenicoparrus,,16 years,"4,700 metres",Stable,"Wetlands (inland), Artificial/Aquatic & Marine",Near Threatened,,https://www.iucnredlist.org/species/22697398/93612106,,
577,Red-billed Tropicbird,Phaethon aethereus,phaethontiformes,phaethontidae,phaethon,"Linnaeus, 1758",10.1 years,,Decreasing,"Marine Neritic, Marine Oceanic, Marine Coastal/Supratidal",Least Concern,Red-billed Tropicbird,https://www.iucnredlist.org/species/22696637/155736224,Linnaeus,1758
578,Red-tailed Tropicbird,Phaethon rubricauda,phaethontiformes,phaethontidae,phaethon,"Boddaert, 1783",11.7 years,250 metres,Decreasing,"Marine Neritic, Marine Oceanic, Marine Coastal/Supratidal",Least Concern,Red-tailed Tropicbird,https://www.iucnredlist.org/species/22696641/163889221,Boddaert,1783
579,White-tailed Tropicbird,Phaethon lepturus,phaethontiformes,phaethontidae,phaethon,"Daudin, 1802",8.4 years,,Decreasing,"Marine Neritic, Marine Oceanic, Marine Coastal/Supratidal",Least Concern,White-tailed Tropicbird,https://www.iucnredlist.org/species/22696645/163887639,Daudin,1802
580,Kagu,Rhynochetos jubatus,eurypygiformes,rhynochetidae,rhynochetos,"Verreaux & Des Murs, 1860",15 years,"1,400 metres",Decreasing,"Forest, Shrubland",Endangered,Kagu,https://www.iucnredlist.org/species/22692211/156666402,Verreaux & Des Murs,1860
581,Sunbittern,Eurypyga helias,eurypygiformes,eurypygidae,eurypyga,"(Pallas, 1781)",14.2 years,"1,830 metres",Decreasing,"Forest, Wetlands (inland)",Least Concern,Sunbittern,https://www.iucnredlist.org/species/22691893/163625651,Pallas,1781
582,White-breasted Mesite,Mesitornis variegatus,mesitornithiformes,mesitornithidae,mesitornis,"Geoffroy Saint-Hilaire, 1838",4.2 years,150 metres,Decreasing,Forest,Vulnerable,"White-breasted Mesite, White-breasted Roatelo",https://www.iucnredlist.org/species/22692949/129882359,Geoffroy SaintHilaire,1838
583,Brown Mesite,Mesitornis unicolor,mesitornithiformes,mesitornithidae,mesitornis,"(Des Murs, 1845)",4.2 years,800 metres,Decreasing,Forest,Vulnerable,"Brown Mesite, Brown Roatelo",https://www.iucnredlist.org/species/22692966/129881558,Des Murs,1845
584,Subdesert Mesite,Monias benschi,mesitornithiformes,mesitornithidae,monias,"Oustalet & Grandidier, 1903",4.9 years,100 metres,Decreasing,"Forest, Shrubland, Artificial/Terrestrial",Vulnerable,"Subdesert Mesite, Bensch's Mesite, Monias",https://www.iucnredlist.org/species/22692971/193815333,Oustalet & Grandidier,1903
585,Rock Dove,Columba livia,columbiformes,columbidae,columba,"Gmelin, 1789",5.8 years,"4,500 metres",Decreasing,"Rocky areas (eg. inland cliffs, mountain peaks), Caves and Subterranean Habitats (non-aquatic), Artificial/Terrestrial",Least Concern,"Rock Dove, Common Pigeon, Rock Dove",https://www.iucnredlist.org/species/22690066/155493121,Gmelin,1789
586,Hill Pigeon,Columba rupestris,columbiformes,columbidae,columba,"Pallas, 1811",5.6 years,"5,500 metres",Decreasing,"Shrubland, Rocky areas (eg. inland cliffs, mountain peaks), Caves and Subterranean Habitats (non-aquatic), Artificial/Terrestrial",Least Concern,Hill Pigeon,https://www.iucnredlist.org/species/22690074/93259855,Pallas,1811
587,Snow Pigeon,Columba leuconota,columbiformes,columbidae,columba,"Vigors, 1831",5.6 years,"5,000 metres",Stable,"Rocky areas (eg. inland cliffs, mountain peaks), Caves and Subterranean Habitats (non-aquatic), Artificial/Terrestrial",Least Concern,Snow Pigeon,https://www.iucnredlist.org/species/22690077/93260137,Vigors,1831
588,Speckled Pigeon,Columba guinea,columbiformes,columbidae,columba,"Linnaeus, 1758",5.6 years,"3,000 metres",Stable,"Savanna, Shrubland, Grassland, Rocky areas (eg. inland cliffs, mountain peaks), Desert, Artificial/Terrestrial",Least Concern,Speckled Pigeon,https://www.iucnredlist.org/species/22690080/118855992,Linnaeus,1758
589,White-collared Pigeon,Columba albitorques,columbiformes,columbidae,columba,"Rüppell, 1837",5.6 years,"4,400 metres",Stable,"Savanna, Shrubland, Grassland, Rocky areas (eg. inland cliffs, mountain peaks), Caves and Subterranean Habitats (non-aquatic), Artificial/Terrestrial",Least Concern,White-collared Pigeon,https://www.iucnredlist.org/species/22690084/93260800,Rüppell,1837
590,Stock Dove,Columba oliviae,columbiformes,columbidae,columba,"Clarke, 1918",5.6 years,750 metres,Stable,"Savanna, Grassland, Caves and Subterranean Habitats (non-aquatic), Desert, Artificial/Terrestrial",Data Deficient,"Somali Pigeon, Somali Stock Dove",https://www.iucnredlist.org/species/22690092/93261002,Clarke,1918
591,Yellow-eyed Pigeon,Columba eversmanni,columbiformes,columbidae,columba,"Bonaparte, 1856",5.6 years,,Decreasing,"Shrubland, Wetlands (inland), Caves and Subterranean Habitats (non-aquatic), Desert, Artificial/Terrestrial",Vulnerable,"Yellow-eyed Pigeon, Yellow-eyed Dove, Yellow-eyed Pigeon, Yellow-eyed Stock Dove",https://www.iucnredlist.org/species/22690097/110099638,Bonaparte,1856
592,Somali Pigeon,Columba oliviae,columbiformes,columbidae,columba,"Clarke, 1918",5.6 years,750 metres,Stable,"Savanna, Grassland, Caves and Subterranean Habitats (non-aquatic), Desert, Artificial/Terrestrial",Data Deficient,"Somali Pigeon, Somali Stock Dove",https://www.iucnredlist.org/species/22690092/93261002,Clarke,1918
593,Common Woodpigeon,Columba palumbus,columbiformes,columbidae,columba,"Linnaeus, 1758",5.7 years,"1,600 metres",Increasing,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,"Common Woodpigeon, Common Wood Pigeon, Common Wood-Pigeon, Common Woodpigeon, Wood Pigeon, Woodpigeon",https://www.iucnredlist.org/species/22690103/131924602,Linnaeus,1758
594,Madeira Laurel-pigeon,Columba trocaz,columbiformes,columbidae,columba,"Heineken, 1829",5.6 years,850 metres,Stable,"Forest, Caves and Subterranean Habitats (non-aquatic), Artificial/Terrestrial",Least Concern,"Madeira Laurel-pigeon, Long-toed Pigeon, Trocaz Pigeon",https://www.iucnredlist.org/species/22690112/118618501,Heineken,1829
595,Dark-tailed Laurel-pigeon,Columba bollii,columbiformes,columbidae,columba,"Godman, 1872",5.6 years,,Increasing,"Forest, Caves and Subterranean Habitats (non-aquatic), Artificial/Terrestrial",Least Concern,"Dark-tailed Laurel-pigeon, Bolle's Laurel Pigeon, Bolle's Pigeon",https://www.iucnredlist.org/species/22690117/86082635,Godman,1872
596,White-tailed Laurel-pigeon,Columba junoniae,columbiformes,columbidae,columba,"Hartert, 1916",5.5999999 years,"2,000 metres",Increasing,"Forest, Shrubland, Caves and Subterranean Habitats (non-aquatic), Artificial/Terrestrial",Near Threatened,"White-tailed Laurel-pigeon, Laurel Pigeon",https://www.iucnredlist.org/species/22690122/111025271,Hartert,1916
597,Afep Pigeon,Columba unicincta,columbiformes,columbidae,columba,"Cassin, 1860",5.6 years,"1,600 metres",Decreasing,"Forest, Artificial/Terrestrial",Least Concern,Afep Pigeon,https://www.iucnredlist.org/species/22690127/130169710,Cassin,1860
598,African Olive-pigeon,,columbiformes,columbidae,columba,,5.6 years,"3,200 metres",Decreasing,"Forest, Artificial/Terrestrial",Least Concern,,https://www.iucnredlist.org/species/22690145/93262374,,
599,Cameroon Olive-pigeon,Columba sjostedti,columbiformes,columbidae,columba,"Reichenow, 1901",5.6 years,"2,500 metres",Decreasing,Forest,Least Concern,"Cameroon Olive-pigeon, Cameroon Olive Pigeon, Cameroon Olive-Pigeon",https://www.iucnredlist.org/species/22690131/93261873,Reichenow,1901
600,Sao Tome Olive-pigeon,Columba thomensis,columbiformes,columbidae,columba,"Barboza du Bocage, 1888",4.2 years,"2,024 metres",Decreasing,"Forest, Artificial/Terrestrial",Endangered,"Sao Tome Olive-pigeon, Maroon Pigeon, Sao Tome Olive Pigeon, Sao Tome Olive-Pigeon",https://www.iucnredlist.org/species/22690138/176726868,Barboza du Bocage,1888
601,Comoro Olive-pigeon,Columba pollenii,columbiformes,columbidae,columba,"Schlegel, 1866",5.6 years,"1,750 metres",Decreasing,Forest,Near Threatened,"Comoro Olive-pigeon, Comoro Olive-Pigeon, Comoros Olive Pigeon, Comoros Rameron Pigeon",https://www.iucnredlist.org/species/22690152/118619451,Schlegel,1866
602,Speckled Woodpigeon,Columba hodgsonii,columbiformes,columbidae,columba,"Vigors, 1832",5.6 years,"4,000 metres",Stable,"Forest, Shrubland",Least Concern,"Speckled Woodpigeon, Speckled Wood Pigeon, Speckled Wood-Pigeon",https://www.iucnredlist.org/species/22690159/93262909,Vigors,1832
603,White-naped Pigeon,Columba albinucha,columbiformes,columbidae,columba,"Sassi, 1911",5.6 years,"1,800 metres",Unknown,Forest,Near Threatened,White-naped Pigeon,https://www.iucnredlist.org/species/22690164/93263106,Sassi,1911
604,Ashy Woodpigeon,Columba pulchricollis,columbiformes,columbidae,columba,"Blyth, 1846",5.6 years,"3,200 metres",Decreasing,"Forest, Shrubland",Least Concern,"Ashy Woodpigeon, Ashy Wood Pigeon, Ashy Wood-Pigeon",https://www.iucnredlist.org/species/22690168/93263339,Blyth,1846
605,Nilgiri Woodpigeon,Columba elphinstonii,columbiformes,columbidae,columba,"(Sykes, 1833)",5.6 years,"2,250 metres",Decreasing,Forest,Vulnerable,"Nilgiri Woodpigeon, Nilgiri Wood Pigeon, Nilgiri Wood-Pigeon",https://www.iucnredlist.org/species/22690173/110095502,Sykes,1833
606,Sri Lanka Woodpigeon,Columba torringtoniae,columbiformes,columbidae,columba,"(Blyth & Kelaart, 1853)",4.0 years,,Decreasing,"Forest, Artificial/Terrestrial",Vulnerable,"Sri Lanka Woodpigeon, Ceylon Wood-Pigeon, Sri Lanka Wood Pigeon",https://www.iucnredlist.org/species/22690178/181016348,Blyth & Kelaart,1853
607,Pale-capped Pigeon,Columba punicea,columbiformes,columbidae,columba,"Blyth, 1842",4.6 years,"1,600 metres",Decreasing,"Forest, Shrubland, Artificial/Terrestrial",Vulnerable,"Pale-capped Pigeon, Purple Wood-pigeon",https://www.iucnredlist.org/species/22690191/180939007,Blyth,1842
608,Silvery Pigeon,,columbiformes,columbidae,columba,,5.6 years,100 metres,Decreasing,"Forest, Artificial/Terrestrial",Critically Endangered,,https://www.iucnredlist.org/species/22690195/155300126,,
609,Andaman Woodpigeon,,columbiformes,columbidae,columba,,5.6 years,,Decreasing,Forest,Near Threatened,,https://www.iucnredlist.org/species/22690201/118217922,,
610,Japanese Woodpigeon,Columba janthina,columbiformes,columbidae,columba,"Temminck, 1830",5.6 years,,Decreasing,Forest,Near Threatened,"Japanese Woodpigeon, Japanese Wood Pigeon, Japanese Wood-Pigeon",https://www.iucnredlist.org/species/22690206/93265097,Temminck,1830
611,Bonin Woodpigeon,Columba versicolor,columbiformes,columbidae,columba,"Kittlitz, 1832",5.6 years,,Unspecified,Forest,Extinct,"Bonin Woodpigeon, Bonin Wood-Pigeon",https://www.iucnredlist.org/species/22690218/93265793,Kittlitz,1832
612,Ryukyu Woodpigeon,Columba jouyi,columbiformes,columbidae,columba,"(Stejneger, 1887)",5.6 years,,Unspecified,Forest,Extinct,"Ryukyu Woodpigeon, Ryukyu Wood Pigeon",https://www.iucnredlist.org/species/22690222/93265958,Stejneger,1887
613,Metallic Pigeon,,columbiformes,columbidae,columba,,5.6 years,"2,750 metres",Stable,"Forest, Artificial/Terrestrial",Least Concern,,https://www.iucnredlist.org/species/22690211/93265338,,
614,White-headed Pigeon,Columba leucomela,columbiformes,columbidae,columba,"Temminck, 1821",5.6 years,,Increasing,"Forest, Artificial/Terrestrial",Least Concern,White-headed Pigeon,https://www.iucnredlist.org/species/22690215/93265605,Temminck,1821
615,Yellow-legged Pigeon,Columba pallidiceps,columbiformes,columbidae,columba,"(Ramsay, 1877)",5 years,"1,300 metres",Decreasing,Forest,Vulnerable,Yellow-legged Pigeon,https://www.iucnredlist.org/species/22690226/131925376,Ramsay,1877
616,Eastern Bronze-naped Pigeon,Columba delegorguei,columbiformes,columbidae,columba,"Delegorgue, 1847",5.6 years,"2,800 metres",Decreasing,"Forest, Savanna, Artificial/Terrestrial",Least Concern,Eastern Bronze-naped Pigeon,https://www.iucnredlist.org/species/22690359/130171613,Delegorgue,1847
617,Western Bronze-naped Pigeon,Columba iriditorques,columbiformes,columbidae,columba,"Cassin, 1856",5.6 years,"1,500 metres",Stable,"Forest, Artificial/Terrestrial",Least Concern,Western Bronze-naped Pigeon,https://www.iucnredlist.org/species/22690346/93270567,Cassin,1856
618,Sao Tome Bronze-naped Pigeon,Columba malherbii,columbiformes,columbidae,columba,"Verreaux & Verreaux, 1851",3.9 years,"1,668 metres",Decreasing,"Forest, Artificial/Terrestrial",Near Threatened,"Sao Tome Bronze-naped Pigeon, Island Bronze-naped Pigeon, Sao Tomé Bronze-naped Pigeon, São Tomé Bronze-naped Pigeon",https://www.iucnredlist.org/species/22690351/176745675,Verreaux & Verreaux,1851
619,Mauritius Woodpigeon,Columba thiriouxi,columbiformes,columbidae,columba,"Hume, 2011",,,Unspecified,Forest,Extinct,Mauritius Woodpigeon,https://www.iucnredlist.org/species/62254534/119206067,Hume,2011
620,Lemon Dove,Aplopelia larvata,columbiformes,columbidae,aplopelia,"Temminck, 1809",5.8 years,"3,200 metres",Stable,"Forest, Artificial/Terrestrial",Least Concern,"Lemon Dove, Cinnamon Dove",https://www.iucnredlist.org/species/22690384/93271506,Temminck,1809
621,European Turtle-dove,Streptopelia turtur,columbiformes,columbidae,streptopelia,"(Linnaeus, 1758)",5.3 years,"1,300 metres",Decreasing,"Forest, Shrubland, Artificial/Terrestrial",Vulnerable,"European Turtle-dove, European Turtle Dove, European Turtle-Dove, Turtle Dove",https://www.iucnredlist.org/species/22690419/154373407,Linnaeus,1758
622,Dusky Turtle-dove,Streptopelia lugens,columbiformes,columbidae,streptopelia,"(Rüppell, 1837)",5.3 years,"3,200 metres",Stable,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,"Dusky Turtle-dove, Dusky Turtle Dove, Dusky Turtle-Dove, Pink-breasted Turtle Dove",https://www.iucnredlist.org/species/22690432/93273485,Rüppell,1837
623,Adamawa Turtle-dove,Streptopelia hypopyrrha,columbiformes,columbidae,streptopelia,"(Reichenow, 1910)",5.3 years,,Stable,"Savanna, Shrubland, Artificial/Terrestrial",Least Concern,"Adamawa Turtle-dove, Adamawa Turtle Dove, Adamawa Turtle-Dove",https://www.iucnredlist.org/species/22690426/93273305,Reichenow,1910
624,Oriental Turtle-dove,Streptopelia orientalis,columbiformes,columbidae,streptopelia,"(Latham, 1790)",5.3 years,"4,000 metres",Stable,"Forest, Shrubland, Artificial/Terrestrial, Artificial/Aquatic & Marine",Least Concern,"Oriental Turtle-dove, Oriental Turtle Dove, Oriental Turtle-Dove, Rufous Turtle Dove",https://www.iucnredlist.org/species/22690439/93273750,Latham,1790
625,Philippine Collared-dove,Streptopelia dusumieri,columbiformes,columbidae,streptopelia,"(Temminck, 1823)",5.3 years,600 metres,Decreasing,"Forest, Artificial/Terrestrial",Vulnerable,Philippine Collared-dove,https://www.iucnredlist.org/species/22727533/132177741,Temminck,1823
