,Common Name,Conservation status,Synonyms,Old latin name for bird,Order,Family,Genus,Breeding region,Breeding subregion,Link,Non breeding region
0,nyanza-swift,LC - Least concern,"Brown Swift, Nyanza Swidt",Cypselus niansae,Swifts and Hummingbirds / Apodiformes,Swifts / Apodidae,Apus,Africa,e,https://dibird.com/species/nyanza-swift/,-
0,oahu-akepa,EX - Extinct,Akepa (Oahu),Loxops rufus,Perching Birds / Passeriformes,"Finches, Euphonias / Fringillidae",Loxops,Pacific ocean,Oahu (Hawaiian Is.),https://dibird.com/species/oahu-akepa/,-
0,oahu-akialoa,EX - Extinct,"Greater Akialoa (Oahu), Greater Akialoa, Kauai Akialoa (Oahu)","Drepanis ellisianus, Hemignathus ellisianus",Perching Birds / Passeriformes,"Finches, Euphonias / Fringillidae",Akialoa,Pacific ocean,Oahu (Hawaiian Is.),https://dibird.com/species/oahu-akialoa/,-
0,oahu-alauahio,CR (PE) - Possibly extinct,"Alauwahio, Oahu Creeper, Oahu Alauwahio, Hawaiian Creeper, Alauahio, O'ahu 'Alauahio",Himatione maculata,Perching Birds / Passeriformes,"Finches, Euphonias / Fringillidae",Paroreomyza,Pacific ocean,Oahu (Hawaiian Is.),https://dibird.com/species/oahu-alauahio/,-
0,oahu-amakihi,VU - Vulnerable,"common 'amakihi, O'ahu Amakihi, O'ahu 'Amakihi","Chlorodrepanis flavus, Hemignathus chloris, Nectarinia flava, Viridonia chloris, Hemignathus flavus",Perching Birds / Passeriformes,"Finches, Euphonias / Fringillidae",Chlorodrepanis,Pacific ocean,Hawaiian Is.,https://dibird.com/species/oahu-amakihi/,-
0,oahu-elepaio,EN - Endangered,,Chasiempsis ibidis,Perching Birds / Passeriformes,Monarchs / Monarchidae,Chasiempis,Pacific ocean,"Oahu, Hawaiian Is.",https://dibird.com/species/oahu-elepaio/,-
0,oahu-nukupuu,EX - Extinct,"Nukupuu (Hawaii), Nukupuu, Hawaii Nukupuu",,Perching Birds / Passeriformes,"Finches, Euphonias / Fringillidae",Hemignathus,Pacific ocean,Oahu (Hawaiian Is.),https://dibird.com/species/oahu-nukupuu/,-
0,oak-titmouse,LC - Least concern,Plain Titmouse,Parus inornatus,Perching Birds / Passeriformes,"Tits, Chickadees / Paridae",Baeolophus,"Middle America, North America",w USA and Baja California,https://dibird.com/species/oak-titmouse/,-
0,oasis-hummingbird,LC - Least concern,Evening Hummingbird,Ornismya vesper,Swifts and Hummingbirds / Apodiformes,Hummingbirds / Trochilidae,Rhodopis,South America,nw Peru to n Chile,https://dibird.com/species/oasis-hummingbird/,-
0,oaxaca-hummingbird,EN - Endangered,"Blue-capped Hummingbird, Blue capped Hummingbird",Eupherusa cyanopyrys,Swifts and Hummingbirds / Apodiformes,Hummingbirds / Trochilidae,Eupherusa,Middle America,sc Mexico,https://dibird.com/species/oaxaca-hummingbird/,-
0,oaxaca-sparrow,LC - Least concern,,Peucaea notosticta,Perching Birds / Passeriformes,New World Sparrows / Passerellidae,Aimophila,Middle America,s Mexico,https://dibird.com/species/oaxaca-sparrow/,-
0,obbia-lark,DD - Data deficient,,Calandrella obbiensis,Perching Birds / Passeriformes,Larks / Alaudidae,Spizocorys,Africa,c Somalia,https://dibird.com/species/obbia-lark/,-
0,oberholsers-fruit-dove,NE - Not evaluated,"Oberholser's Fruit-Dove, Maroon-chinned Fruit-Dove (Oberholser's)","Leucotreron epia, Ramphiculus epius, Ptilinopus epius, Ptilinopus epia",Pigeons and Doves / Columbiformes,"Pigeons, Doves / Columbidae",Ptilinopus,Australasia,Sulawesi,https://dibird.com/species/oberholsers-fruit-dove/,-
0,obi-paradisecrow,NE - Not evaluated,"Paradise-crow (obiensis), Paradise-crow (Obi)",,Perching Birds / Passeriformes,Birds-of-paradise / Paradisaeidae,Lycocorax,Australasia,c Moluccas (Bisa and Obi Is.).,https://dibird.com/species/obi-paradisecrow/,-
0,obscure-berrypecker,LC - Least concern,Arfak Berrypecker,Dicaeum arfakianum,Perching Birds / Passeriformes,"Berrypeckers, Longbills / Melanocharitidae",Melanocharis,Australasia,se New Guinea,https://dibird.com/species/obscure-berrypecker/,-
