,Common Name,Conservation status,Synonyms,Old latin name for bird,Order,Family,Genus,Breeding region,Breeding subregion,Link,Non breeding region
0,wallaces-fruit-dove,LC - Least concern,"Wallace's Green Fruit-Dove, Wallace's Green Fruit Dove, Wallace's Fruit-Dove, Golden-shouldered Fruit-Dove",Ptilonopus [sic] wallacii,Pigeons and Doves / Columbiformes,"Pigeons, Doves / Columbidae",Ptilinopus,Australasia,"sw New Guinea, s Moluccas and Lesser Sundas",https://dibird.com/species/wallaces-fruit-dove/,-
0,wallaces-hanging-parrot,EN - Endangered,Flores Hanging-Parrot,,Parrots / Psittaciformes,Old World Parrots / Psittaculidae,Loriculus,Australasia,Lesser Sundas,https://dibird.com/species/wallaces-hanging-parrot/,-
0,wallaces-hawkeagle,VU - Vulnerable,Wallace's Hawk Eagle,Spizaetus nanus,Hawks and relatives / Accipitriformes,"Kites, Hawks, Eagles / Accipitridae",Nisaetus,Oriental Region,"Malay Pen., Sumatra and Borneo",https://dibird.com/species/wallaces-hawkeagle/,-
0,wallaces-owletnightjar,LC - Least concern,"Wallace's Owlet-Nightjar, Wallace's owlet nightjar, White-spotted Owlet-Nightjar",,Aegotheliformes,Owlet-nightjars / Aegothelidae,Aegotheles,Australasia,New Guinea,https://dibird.com/species/wallaces-owletnightjar/,-
0,wallaces-scops-owl,LC - Least concern,"Lesser Sunda Scops Owl, Wallace's Scops-Owl, Lesser Sunda Scops-Owl","Scops silvicola, Otus silvicolus",Owls / Strigiformes,Owls / Strigidae,Otus,Australasia,Lesser Sundas,https://dibird.com/species/wallaces-scops-owl/,-
0,wallcreeper,LC - Least concern,"Red-winged wall creeper, Wall Creeper, Wall-Creeper",Certhia muraria,Perching Birds / Passeriformes,Wallcreeper / Tichodromidae,Tichodroma,Eurasia,s Europe to c China,https://dibird.com/species/wallcreeper/,-
0,wallers-starling,LC - Least concern,"Waller's Chestnut-wing, Waller's Red-winged Starling, Mountain Red-winged Starling, Waller's Chestnut-wing Starling, Waller's Chestnut-winged Starling",Amydrus walleri,Perching Birds / Passeriformes,"Starlings, Rhabdornis / Sturnidae",Onychognathus,Africa,"wc, c, e",https://dibird.com/species/wallers-starling/,-
0,wandering-albatross,VU - Vulnerable,"Snowy Albatross, Wandering Albatross (Snowy)",,Albatrosses and Petrels / Procellariiformes,Albatrosses / Diomedeidae,Diomedea,Southern ocean,"widespread, except New Zealand",https://dibird.com/species/wandering-albatross/,widespread
0,wandering-tattler,LC - Least concern,"Tattler, Alaskan Tattler, American Wandering Tattler, Wandering Tatler, American tattler","Heterosceles incanus, Heteroscelus incanus, Heteroscelus incana, Tringa incanus, Heteroscelus incanum, Heteractitis incanus, Scolopax incana",Shorebirds / Charadriiformes,"Sandpipers, Snipes / Scolopacidae",Tringa,"North America, Eurasia","ne Siberia, Alaska and nw Canada",https://dibird.com/species/wandering-tattler/,w USA and s PO islands
0,wandering-whistling-duck,LC - Least concern,"Wandering Tree Duck, Water Whistle-Duck, Wandering Whistling-Duck, Whistling teal, Whistling Tree-Duck, Diving Whistling-Duck, Diving Whistling Duck, Whistling Tree Duck, Wandering Tree-Duck, Water Whistling-Duck, Diving Tree Duck",Anas arcuata,Ducks and relatives / Anseriformes,"Ducks, Geese, Swans / Anatidae",Dendrocygna,"Australasia, Oriental Region",Philippines to Australia,https://dibird.com/species/wandering-whistling-duck/,-
0,warbling-doradito,LC - Least concern,,A [lecturus] flaviventris,Perching Birds / Passeriformes,"Tyrant Flycatchers, Calyptura / Tyrannidae",Pseudocolopteryx,South America,Paraguay and s Brazil to ec Argentina,https://dibird.com/species/warbling-doradito/,-
0,warbling-vireo,LC - Least concern,"Eastern Warbling Vireo, Eastern Warbling-Vireo, Warbling Vireo (Eastern)",Muscicapa gilva,Perching Birds / Passeriformes,"Vireos, Greenlets, Shrike-babblers / Vireonidae",Vireo,"Middle America, North America",widespread,https://dibird.com/species/warbling-vireo/,-
0,warbling-whiteeye,LC - Least concern,"Chinese White-eye, Dark green white-eye, hainanus], Japanese White-eye [incl. simplex, Japanese White-eye, Warbling White-eye [incl. simplex",Zosterops japonica,Perching Birds / Passeriformes,White-eyes / Zosteropidae,Zosterops,Eurasia,"widespread e Asia, Japan to Greater Sundas, Lesser Sundas and Philippines",https://dibird.com/species/warbling-whiteeye/,-
0,wards-flycatcher,LC - Least concern,"Ward's Vanga, Ward's Shrike flycatcher, Ward's Shrike-flycatcher",,Perching Birds / Passeriformes,Vangas & Allies / Vangidae,Pseudobias,Africa,Madagascar,https://dibird.com/species/wards-flycatcher/,-
0,wards-trogon,NT - Near threatened,,Pyrotrogon wardi,"Trogons, quetzals / Trogoniformes",Trogons / Trogonidae,Harpactes,Oriental Region,ne India to n Vietnam,https://dibird.com/species/wards-trogon/,-
0,warsangli-linnet,EN - Endangered,Warsanglia Linnet,"Carduelis johannis, Warsanglia johannis, Acanthis johannis",Perching Birds / Passeriformes,"Finches, Euphonias / Fringillidae",Linaria,Africa,ne Somalia,https://dibird.com/species/warsangli-linnet/,-
0,water-pipit,LC - Least concern,"Rock Pipit, Mountain Pipit, Alpine Pipit","Pipastes spinoletta, Anthus rubescens, Alauda spinoletta",Perching Birds / Passeriformes,"Wagtails, Pipits / Motacillidae",Anthus,Eurasia,"c, w, s",https://dibird.com/species/water-pipit/,n AF
0,water-rail,LC - Least concern,"Western Water-Rail, Western Water Rail",,"Cranes, Rails and relatives / Gruiformes","Rails, Crakes & Coots / Rallidae",Rallus,Eurasia,w Europe to c Asia,https://dibird.com/species/water-rail/,n Africa to w s Asia
0,water-thickknee,LC - Least concern,"Water Dikkop, Thick-knee, Water Thick knee",Oedicnemus vermiculatus,Shorebirds / Charadriiformes,"Stone-curlews, Thick-knees / Burhinidae",Burhinus,Africa,"se, sc",https://dibird.com/species/water-thickknee/,-
0,watercock,LC - Least concern,"Water Cock, Kora",Fulica cinerea,"Cranes, Rails and relatives / Gruiformes","Rails, Crakes & Coots / Rallidae",Gallicrex,Oriental Region,widespread,https://dibird.com/species/watercock/,-
0,watkinss-antpitta,NT - Near threatened,"Scrub Antpitta, Scrub Antipitta, Watkins' Antpitta, Watkin's Antpitta",,Perching Birds / Passeriformes,Antpittas / Grallariidae,Grallaria,South America,w Ecuador and nw Peru,https://dibird.com/species/watkinss-antpitta/,-
0,wattled-broadbill,VU - Vulnerable,"Mindanao Wattled Broadbill, Mindanao Broadbill","Eurylaimus steerii, Eurylaemus steerii",Perching Birds / Passeriformes,Typical Broadbills / Eurylaimidae,Sarcophanops,Oriental Region,s Philippines,https://dibird.com/species/wattled-broadbill/,-
0,wattled-brushturkey,LC - Least concern,"Wattled Brush-turkey, Wattled Scrub-Turkey, Wattled Brush Turkey, Arfakian Brush Turkey",Talegallus arfakianus,Сhickens and relatives / Galliformes,Megapodes / Megapodiidae,Aepypodius,Australasia,New Guinea,https://dibird.com/species/wattled-brushturkey/,-
