,Common Name,Conservation status,Synonyms,Old latin name for bird,Order,Family,Genus,Breeding region,Breeding subregion,Link,Non breeding region
0,abbotts-booby,EN - Endangered,"Abbot's Booby, Spotted-backed Booby",Sula abbotti,Gannets and relatives / Suliformes,"Gannets, Boobies / Sulidae",Papasula,Indian ocean,ne,https://dibird.com/species/abbotts-booby/,-
0,abbotts-starling,VU - Vulnerable,,"Pholia femoralis, Pholidauges femoralis, Cinnyricinclus femoralis",Perching Birds / Passeriformes,"Starlings, Rhabdornis / Sturnidae",Poeoptera,Africa,Kenya and Tanzania,https://dibird.com/species/abbotts-starling/,-
0,abbotts-sunbird,NE - Not evaluated,Souimanga Sunbird (Abbott's),,Perching Birds / Passeriformes,Sunbirds / Nectariniidae,Cinnyris,Africa,Aldabra Island,https://dibird.com/species/abbotts-sunbird/,-
0,abd-alkuri-sparrow,VU - Vulnerable,"Abd 'Al Kuri Sparrow, Abd al Kuri Sparrow, Abd' Al Kuri Sparrow",,Perching Birds / Passeriformes,"Old World Sparrows, Snowfinches / Passeridae",Passer,Africa,"Abd al-Kuri I., w of Socotra",https://dibird.com/species/abd-alkuri-sparrow/,-
0,abdims-stork,LC - Least concern,"White-bellied Stork, White-billed Stork","Sphenorrhynchus abdimii, Sphenorhynchus abdimii","Herons, Storks and relatives / Ciconiiformes",Storks / Ciconiidae,Ciconia,Africa,Senegal to Ethiopia,https://dibird.com/species/abdims-stork/,"e, s Africa"
0,aberdare-cisticola,VU - Vulnerable,"Aberdare Grass-Warbler, Aberdare Mountain Cisticola, Aberdare Stout Cisticola",Cisticola robusta aberdare,Perching Birds / Passeriformes,Cisticolas & Allies / Cisticolidae,Cisticola,Africa,Kenya,https://dibird.com/species/aberdare-cisticola/,-
0,aberrant-bush-warbler,LC - Least concern,"Chinese willow warbler, Buff-throated Warbler (arcanus), Aberrant Bush-Warbler","Cettia flavolivacea, Cettia flavolivaceus, N [eornis]. flavolivacea",Perching Birds / Passeriformes,Cettia Bush Warblers & Allies / Cettiidae,Horornis,Oriental Region,Himalayas to n Vietnam and c China,https://dibird.com/species/aberrant-bush-warbler/,-
0,aberts-towhee,LC - Least concern,"Albert's towhee, Abert's Finch","Pipilo alberti, Pyrgisoma aberti, Pipilo aberti, Aimophila aberti, Kieneria aberti",Perching Birds / Passeriformes,New World Sparrows / Passerellidae,Melozone,"Middle America, North America",sw USA and nw Mexico,https://dibird.com/species/aberts-towhee/,-
0,abyssinian-catbird,LC - Least concern,"Juniper Babbler, Ethiopian Catbird","Parisoma galinieri, Parophasma galinieri",Perching Birds / Passeriformes,Sylviid Babblers / Sylviidae,Sylvia,Africa,Ethiopia,https://dibird.com/species/abyssinian-catbird/,-
0,abyssinian-crimsonwing,LC - Least concern,"Ethiopian Crimson-wing, Abyssinian Crimson wing, Ethiopian Crimsonwing, Salvadori's, Abyssinian Crimson-wing, Salvadori's Crimson-Wing",,Perching Birds / Passeriformes,"Waxbills, Munias & Allies / Estrildidae",Cryptospiza,Africa,"ec, e",https://dibird.com/species/abyssinian-crimsonwing/,-
