,Common Name,Conservation status,Synonyms,Old latin name for bird,Order,Family,Genus,Breeding region,Breeding subregion,Link,Non breeding region
0,blacknecked-crane,VU - Vulnerable,,,"Cranes, Rails and relatives / Gruiformes",Cranes / Gruidae,Grus,Eurasia,Tibet and wc China,https://dibird.com/species/blacknecked-crane/,n OR
0,blacknecked-eremomela,LC - Least concern,"Black necked Eremomela, Black-collared Eremomela",Eremomela ansorgei,Perching Birds / Passeriformes,Cisticolas & Allies / Cisticolidae,Eremomela,Africa,s DR Congo to c Angola and c Zambia,https://dibird.com/species/blacknecked-eremomela/,-
0,blacknecked-grebe,LC - Least concern,"Black-necked Podiceps, Black-necked Podic, Black grebe, Blacknecked Grebe, Back-necked grebe, American Eared Grebe, Eared Grebe, Black-necked or Eared Grebe","Colymbus caspicus, Podiceps caspicus, Colymbus nigricollis",Grebes / Podicipediformes,Grebes / Podicipedidae,Podiceps,"Africa, Middle America, North America, Eurasia",widespread,https://dibird.com/species/blacknecked-grebe/,-
0,blacknecked-red-cotinga,LC - Least concern,"Black necked Red Cotinga, Black-necked cotinga, Black-necked Red-Cotinga","Phoenicercus nigricollis, P [hoenicircus] nigricollis",Perching Birds / Passeriformes,Cotingas / Cotingidae,Phoenicircus,South America,"w, sc Amazonia",https://dibird.com/species/blacknecked-red-cotinga/,-
0,blacknecked-stilt,NE - Not evaluated,"Hawaiian stilt, ae'o, Black-necked Stilt (Black-necked)",Charadrius mexicanus,Shorebirds / Charadriiformes,"Stilts, Avocets / Recurvirostridae",Himantopus,"South America, Middle America, North America","w, s USA to Peru and e Brazil; also Hawaiian Is.",https://dibird.com/species/blacknecked-stilt/,-
0,blacknecked-stork,NT - Near threatened,"Black necked Stork, Jabiru, Green-necked Stork","Mycteria asiatica, Xenorhynchus asiaticus","Herons, Storks and relatives / Ciconiiformes",Storks / Ciconiidae,Ephippiorhynchus,"Australasia, Oriental Region",India to Australia,https://dibird.com/species/blacknecked-stork/,-
0,blacknecked-swan,LC - Least concern,"Black necked Swan, Blackneck Swan","Cygnus melanocorypha, Cygnus melancorypha, Cygnus melancoriphus, Anas melanocoripha, Sthenelides melancoryphus, Cygnus melanocoryphus, Sthenelides melanocoryphus",Ducks and relatives / Anseriformes,"Ducks, Geese, Swans / Anatidae",Cygnus,South America,Southern Cone,https://dibird.com/species/blacknecked-swan/,-
0,blacknecked-wattleeye,LC - Least concern,"Cameroon Wattle-eye, Black necked Wattle eye, Reichenow's Wattle-eye, Yellow-bellied Wattle-eye","Dyaphorophyta chalybea, Diaphorophyia chalybea, Platysteira chlorophrys, Dyaphorophyia chalybea",Perching Birds / Passeriformes,"Wattle-eyes, Batises / Platysteiridae",Platysteira,Africa,c Cameroon and Central African Republic to Gabon and Congo and wc Angola,https://dibird.com/species/blacknecked-wattleeye/,-
0,blacknecked-weaver,LC - Least concern,"Black necked Weaver, Spectacled Weaver","Malimbus nigricollis, Ploceus brachypterus",Perching Birds / Passeriformes,"Weavers, Widowbirds / Ploceidae",Ploceus,Africa,"w, c, e",https://dibird.com/species/blacknecked-weaver/,-
0,blacknecked-woodpecker,LC - Least concern,"Black-necked Flicker, Black necked Woodpecker, Back-necked Flicker","Chrysoptilus atricollis, Chrysopicos atricollis","Woodpeckers, Toucans and relatives / Piciformes",Woodpeckers / Picidae,Colaptes,South America,Peru,https://dibird.com/species/blacknecked-woodpecker/,-
0,blacknecklaced-honeyeater,LC - Least concern,"Finsch's Honeyeater, White-bellied Honeyeater, Black-chested Honeyeater, Black chested Honeyeater",Stigmatops notabilis,Perching Birds / Passeriformes,Honeyeaters / Meliphagidae,Lichmera,Australasia,Lesser Sundas,https://dibird.com/species/blacknecklaced-honeyeater/,-
0,blacknecklaced-scimitar-babbler,LC - Least concern,Rusty-cheeked Scimitar Babbler,Pomatorhinus erythrogenys,Perching Birds / Passeriformes,"Babblers, Scimitar Babblers / Timaliidae",Erythrogenys,Oriental Region,Taiwan,https://dibird.com/species/blacknecklaced-scimitar-babbler/,-
0,blacknest-swiftlet,LC - Least concern,"Indomalayan Swiftlet, Low's Swiftlet, Indo-Malayan Swiftlet, Black nest Swiftlet, Robinson's Swiftlet, Lowe's Swiftlet","Collocalia lowi, Collocalia maxima, Aerodramus maxima, Collocalia maximus",Swifts and Hummingbirds / Apodiformes,Swifts / Apodidae,Aerodramus,Oriental Region,Malay Pen. and Greater Sundas,https://dibird.com/species/blacknest-swiftlet/,-
0,blackpoll-warbler,LC - Least concern,Black-poll Warbler,"Muscicapa striata, Dendroica striata",Perching Birds / Passeriformes,New World Warblers / Parulidae,Setophaga,North America,"Alaska to e, se Canada and ne USA",https://dibird.com/species/blackpoll-warbler/,"n, c SA"
0,blackpolled-yellowthroat,EN - Endangered,Black polled Yellowthroat,,Perching Birds / Passeriformes,New World Warblers / Parulidae,Geothlypis,Middle America,Mexico,https://dibird.com/species/blackpolled-yellowthroat/,-
0,blackringed-whiteeye,LC - Least concern,"Macassar White-eye, Makassar White-eye, Lemon-throated White-eye, Lemon throated White eye",Zosterops anomala,Perching Birds / Passeriformes,White-eyes / Zosteropidae,Zosterops,Australasia,Sulawesi,https://dibird.com/species/blackringed-whiteeye/,-
0,blackrumped-buttonquail,LC - Least concern,"Black-rumped Button Quail, Natal Buttonquail, Black rumped Buttonquail, Dwarf Buttonquail, Hottentot Buttonquail (Black-rumped)","Hemipodius nanus, Turnix nana",Shorebirds / Charadriiformes,Buttonquail / Turnicidae,Turnix,Africa,widespread,https://dibird.com/species/blackrumped-buttonquail/,-
0,blackrumped-flameback,LC - Least concern,"Black-rumped Flameback (Black-rumped), Black-rumped Flameback [nominate]",Picus benghalensis,"Woodpeckers, Toucans and relatives / Piciformes",Woodpeckers / Picidae,Dinopium,Oriental Region,Indian subcontinent; records in Myanmar doubtful (Rasmussen & Anderton 2005),https://dibird.com/species/blackrumped-flameback/,-
0,blackrumped-magpie,NE - Not evaluated,"Eurasian Magpie (Black-rumped), Himalayan Magpie, Eurasian Magpie (bottanensis)",,Perching Birds / Passeriformes,"Crows, Jays / Corvidae",Pica,Oriental Region,c Bhutan and wc China,https://dibird.com/species/blackrumped-magpie/,-
0,blackrumped-waxbill,LC - Least concern,"Black rumped Waxbill, Yellow-browed Waxbill, Grey Waxbill, Red-eared Waxbill","Estrilda xanthophrys, Estrilda cinerea, F. [ringilla] troglodytes",Perching Birds / Passeriformes,"Waxbills, Munias & Allies / Estrildidae",Estrilda,Africa,"Mauritania to Liberia and e to Eritrea, Ethiopia and w Kenya",https://dibird.com/species/blackrumped-waxbill/,-
0,blackshouldered-cicadabird,LC - Least concern,"Papuan Cuckooshrike, Papuan Cuckoo-shrike, Black-shouldered Cuckoo-shrike, Black shouldered Cicadabird, Papuan Cicadabird, Sharpe's Cicadabird, Black-shouldered Cuckooshrike","Coracina incerta, Campephaga incerta",Perching Birds / Passeriformes,Cuckooshrikes / Campephagidae,Edolisoma,Australasia,New Guinea,https://dibird.com/species/blackshouldered-cicadabird/,-
0,blackshouldered-kite,LC - Least concern,"Australian Kite, White-tailed Kite, Australian Black-shouldered Kite, Black shouldered Kite, Black-winged Kite","Elanus notatus, Falco axillaris",Hawks and relatives / Accipitriformes,"Kites, Hawks, Eagles / Accipitridae",Elanus,Australasia,Australia,https://dibird.com/species/blackshouldered-kite/,-
0,blackshouldered-nightjar,NE - Not evaluated,Black shouldered Nightjar,Caprimulgus claudi,Nightjars and relatives / Caprimulgiformes,Nightjars / Caprimulgidae,Caprimulgus,Africa,Senegal and Gambia to w Kenya and sw DR Congo,https://dibird.com/species/blackshouldered-nightjar/,-
0,blacksided-flowerpecker,LC - Least concern,"Mountain Flowerpecker, Black sided Flowerpecker, Fire-breasted Flowerpecker, Bornean Fire-breasted Flowerpecker, Bornean Flowerpecker",,Perching Birds / Passeriformes,Flowerpeckers / Dicaeidae,Dicaeum,Oriental Region,Borneo,https://dibird.com/species/blacksided-flowerpecker/,-
0,blacksided-robin,LC - Least concern,"Black and White Robin, Black & White Robin, Black sided Robin, Black-and-white Robin",Petroica hypoleuca,Perching Birds / Passeriformes,Australasian Robins / Petroicidae,Poecilodryas,Australasia,New Guinea,https://dibird.com/species/blacksided-robin/,-
0,blacksmith-lapwing,LC - Least concern,Blacksmith Plover,"Hoplopterus armatus, Antibyx armatus, Anitibyx armatus, Charadrius armatus",Shorebirds / Charadriiformes,Plovers / Charadriidae,Vanellus,Africa,Angola to Kenya and s to South Africa,https://dibird.com/species/blacksmith-lapwing/,-
0,blacksmith-thrush,LC - Least concern,"Blacksmith Thrush, Slaty Thrush (Eastern), Eastern Slaty Slaty Thrush, Slaty-capped Thrush, Behn's Thrush, EasternSlatySlaty Thrush, Eastern Slaty Slaty-Thrush, Eastern Slaty-Thrush, Eastern Slaty Thrush",Merula subalaris,Perching Birds / Passeriformes,Thrushes / Turdidae,Turdus,South America,"e Paraguay, ne Argentina and se Brazil",https://dibird.com/species/blacksmith-thrush/,-
0,blackspectacled-brushfinch,EN - Endangered,"Black-goggled Brush-Finch, Black-spectacled Brush Finch, Black-spectacled Brush-Finch (nominate), Black-faced Brush-Finch, Black-spectacled Brush-Finch (nominal form), Black-masked Brush-Finch","Buarremon melanops, Atlapetes melanops",Perching Birds / Passeriformes,New World Sparrows / Passerellidae,Atlapetes,South America,Peru,https://dibird.com/species/blackspectacled-brushfinch/,-
0,blackspotted-barbet,LC - Least concern,,Bucco niger,"Woodpeckers, Toucans and relatives / Piciformes",New World Barbets / Capitonidae,Capito,South America,ne Amazonia,https://dibird.com/species/blackspotted-barbet/,-
0,blackspotted-bareeye,LC - Least concern,"Black-spotted Bare-eyed, Black spotted Bare eye, Black Spotted Bare-eye, Black-eye","Phlegopsis nigro-maculata, Myothera nigro-maculata",Perching Birds / Passeriformes,Antbirds / Thamnophilidae,Phlegopsis,South America,"s, w Amazonia",https://dibird.com/species/blackspotted-bareeye/,-
0,blackstart,LC - Least concern,"Black-tailed Rock-Chat, Blackchat, Black-tailed Rock Chat","Saxicola melanura, Cercomela melanura",Perching Birds / Passeriformes,"Chats, Old World Flycatchers / Muscicapidae",Oenanthe,"Africa, Eurasia","Arabian Pen. through e, c, w Africa",https://dibird.com/species/blackstart/,-
0,blackstreaked-puffbird,LC - Least concern,Black streaked Puffbird,,"Woodpeckers, Toucans and relatives / Piciformes",Puffbirds / Bucconidae,Malacoptila,South America,c Colombia to nw Bolivia,https://dibird.com/species/blackstreaked-puffbird/,-
0,blackstreaked-scimitar-babbler,LC - Least concern,Black-streaked Scimitar-babbler,"Pomatorhinus gravivox, Megapomatorhinus gravivox",Perching Birds / Passeriformes,"Babblers, Scimitar Babblers / Timaliidae",Erythrogenys,Oriental Region,"e Myanmar, China",https://dibird.com/species/blackstreaked-scimitar-babbler/,-
0,blackstriped-sparrow,LC - Least concern,"Black-stiped Sparrow, Black striped Sparrow",Arremon conirostris,Perching Birds / Passeriformes,New World Sparrows / Passerellidae,Arremonops,"South America, Middle America",Honduras to n Brazil,https://dibird.com/species/blackstriped-sparrow/,-
0,blackstriped-woodcreeper,LC - Least concern,"Black-striped Woodhewer, Black striped Woodcreeper",Dendrornis lachrymosus,Perching Birds / Passeriformes,Ovenbirds / Furnariidae,Xiphorhynchus,"South America, Middle America",e Nicaragua to nw Ecuador,https://dibird.com/species/blackstriped-woodcreeper/,-
0,blacktailed-antbird,VU - Vulnerable,"Black-tailed Antcreeper, Black tailed Antbird",Hypocnemis melanura,Perching Birds / Passeriformes,Antbirds / Thamnophilidae,Myrmoborus,South America,w Amazonia,https://dibird.com/species/blacktailed-antbird/,-
0,blacktailed-cisticola,DD - Data deficient,"Angola Cisticola, Angola Slender-tailed Apalis, Pearson's Cisticola, Angola Slender-tailed Scrub-Warbler, Black tailed Cisticola, Black- tailed Cisticola, Slender-tailed Cisticola, Katanga Slender-tailed Scrub-Warbler, Slender Cisticola","Cisticola melanura, Cisticola pearsoni, Dryodromas melanurus, Apalis melanura",Perching Birds / Passeriformes,Cisticolas & Allies / Cisticolidae,Cisticola,Africa,sw DR Congo and n Angola,https://dibird.com/species/blacktailed-cisticola/,-
