,Common Name,Conservation status,Synonyms,Old latin name for bird,Order,Family,Genus,Breeding region,Breeding subregion,Link,Non breeding region
0,cinnamonbreasted-whistler,NE - Not evaluated,Drab Whistler (Cinnamon-breasted),,Perching Birds / Passeriformes,Whistlers & Allies / Pachycephalidae,Pachycephala,Australasia,n Moluccas,https://dibird.com/species/cinnamonbreasted-whistler/,-
0,cinnamonbrowed-melidectes,LC - Least concern,"Mid-mountain Honeyeater, Dark-mantled Melidectes, Cinnamon-browed Honeyeater, Mid-mountain Melidectes, Dark-mantled Honeyeater, Cinnamon browed Melidectes",Melirrhophetes ochromelas,Perching Birds / Passeriformes,Honeyeaters / Meliphagidae,Melidectes,Australasia,nw to e New Guinea,https://dibird.com/species/cinnamonbrowed-melidectes/,-
0,cinnamonchested-beeeater,LC - Least concern,"Cinnamon-chested Bee Eater, Chinnamon-chested Bee Eater, Elgon Cinnamon-chested Bee-eater, Cinnamon-breasted Bee-eater, Cinnamon chested Bee eater",Melittophagus oreobates,Kingfishers and relatives / Coraciiformes,Bee-eaters / Meropidae,Merops,Africa,"s South Sudan to ne Tanzania, w Uganda and e DR Congo to nw Tanzania",https://dibird.com/species/cinnamonchested-beeeater/,-
0,cinnamonchested-flycatcher,LC - Least concern,"Cinnamon chested Flycatcher, Buru Flycatcher",Erythromyias buruensis,Perching Birds / Passeriformes,"Chats, Old World Flycatchers / Muscicapidae",Ficedula,Australasia,s Moluccas,https://dibird.com/species/cinnamonchested-flycatcher/,-
0,cinnamoncrested-spadebill,LC - Least concern,"Cinnamon-breasted Spadebill, Cinnamon crested Spadebill",Platyrhynchus saturatus,Perching Birds / Passeriformes,"Tyrant Flycatchers, Calyptura / Tyrannidae",Platyrinchus,South America,Amazonia,https://dibird.com/species/cinnamoncrested-spadebill/,-
0,cinnamonfaced-tyrannulet,LC - Least concern,"Cinnammon-faced Tyrannulet, Yellow-bellied Tyrannulet",,Perching Birds / Passeriformes,"Tyrant Flycatchers, Calyptura / Tyrannidae",Phylloscartes,South America,c Peru to n Bolivia,https://dibird.com/species/cinnamonfaced-tyrannulet/,-
0,cinnamonheaded-green-pigeon,NT - Near threatened,"Cinnamon-headed Pigeon, Cinnamon headed Green Pigeon, Cinnamon-headed Green-Pigeon, Cinnamon-headed Green Dove",Columba fulvicollis,Pigeons and Doves / Columbiformes,"Pigeons, Doves / Columbidae",Treron,Oriental Region,"Malay Pen., Sumatra and Borneo",https://dibird.com/species/cinnamonheaded-green-pigeon/,-
0,cinnamonrumped-foliagegleaner,LC - Least concern,Cinnamon rumped Foliage gleaner,Anabates pyrrhodes,Perching Birds / Passeriformes,Ovenbirds / Furnariidae,Philydor,South America,Amazonia,https://dibird.com/species/cinnamonrumped-foliagegleaner/,-
0,cinnamonrumped-seedeater,LC - Least concern,White-collared Seedeater (Cinnamon-rumped),Spermophila torqueola,Perching Birds / Passeriformes,Tanagers & Allies / Thraupidae,Sporophila,"Middle America, North America",w Mexico,https://dibird.com/species/cinnamonrumped-seedeater/,-
0,cinnamonrumped-trogon,NT - Near threatened,Cinnamon rumped Trogon,Pyrotrogon orrhophaeus,"Trogons, quetzals / Trogoniformes",Trogons / Trogonidae,Harpactes,Oriental Region,Malay Pen. and Borneo,https://dibird.com/species/cinnamonrumped-trogon/,-
0,cinnamonsided-hummingbird,LC - Least concern,Green-fronted Hummingbird (Cinnamon-sided),"Amazilia violiceps wagneri, Amazilia wagneri",Swifts and Hummingbirds / Apodiformes,Hummingbirds / Trochilidae,Leucolia,Middle America,"c, s Oaxaca (s Mexico)",https://dibird.com/species/cinnamonsided-hummingbird/,-
0,cinnamontailed-fantail,NT - Near threatened,"Cinnamon tailed Fantail, Dark-red Fantail","Rhipidura fusco-rufa, Rhipidura fusco",Perching Birds / Passeriformes,Fantails / Rhipiduridae,Rhipidura,Australasia,Tanimbar Is.,https://dibird.com/species/cinnamontailed-fantail/,-
0,cinnamontailed-sparrow,NT - Near threatened,"Cinnamon tailed Sparrow, Sumichrast's Sparrow","Haemophila sumichrasti, Aimophila sumichrasti",Perching Birds / Passeriformes,New World Sparrows / Passerellidae,Peucaea,Middle America,sw Mexico,https://dibird.com/species/cinnamontailed-sparrow/,-
0,cinnamonthroated-hermit,LC - Least concern,"Cinnamon throated Hermit, Maranhao Hermit, Natterer's Hermit","Phaã«thornis nattereri, Phaethornis maranhaoensis",Swifts and Hummingbirds / Apodiformes,Hummingbirds / Trochilidae,Phaethornis,South America,"e Bolivia and sw, e Brazil",https://dibird.com/species/cinnamonthroated-hermit/,-
0,cinnamonthroated-woodcreeper,LC - Least concern,"Cinnamon throated Woodcreeper, Streak-throated Woodcreeper",Dendrocolaptes (orthocolaptes) rufigula,Perching Birds / Passeriformes,Ovenbirds / Furnariidae,Dendrexetastes,South America,Amazonia,https://dibird.com/species/cinnamonthroated-woodcreeper/,-
0,cinnamonvented-piha,NT - Near threatened,Cinnamon vented Piha,Turdampelis lanioides,Perching Birds / Passeriformes,Cotingas / Cotingidae,Lipaugus,South America,se Brazil,https://dibird.com/species/cinnamonvented-piha/,-
0,cipo-canastero,NT - Near threatened,"Cip Canastero, Cipó Canastero",Thripophaga luizae,Perching Birds / Passeriformes,Ovenbirds / Furnariidae,Asthenes,South America,se Brazil,https://dibird.com/species/cipo-canastero/,-
0,cirl-bunting,LC - Least concern,,,Perching Birds / Passeriformes,Buntings / Emberizidae,Emberiza,"Africa, Eurasia",s Europe and nw Africa,https://dibird.com/species/cirl-bunting/,-
0,citreoline-trogon,LC - Least concern,,,"Trogons, quetzals / Trogoniformes",Trogons / Trogonidae,Trogon,Middle America,Mexico,https://dibird.com/species/citreoline-trogon/,-
0,citril-finch,LC - Least concern,"European Citril, Alpine Citril Finch, European Citril Finch, Continental Citril Finch","Serinus citrinella, Fringilla citrinella",Perching Birds / Passeriformes,"Finches, Euphonias / Fringillidae",Carduelis,Eurasia,Spain to Austria and Slovenia,https://dibird.com/species/citril-finch/,-
0,citrine-canaryflycatcher,LC - Least concern,"Citrine Flycatcher, Citrine Canary Flycatcher, Sunflower Canary-Flycatcher",Muscicapa helianthea,Perching Birds / Passeriformes,Fairy Flycatchers / Stenostiridae,Culicicapa,Oriental Region,Philippines and also Sulawesi,https://dibird.com/species/citrine-canaryflycatcher/,-
0,citrine-lorikeet,NE - Not evaluated,"Yellow and Green Lorikeet, Yellow&green lorikeet, Yellow-and-green Lorikeet, Yellow & Green Lorikeet, Yellow-green Lorikeet, Yellow-and- Green Lorikeet, Sula or Yellow-cheeked Lorikeet, Citrine Lorikeet","Trichoglossus flavoviridis, Psitteuteles flavoviridis",Parrots / Psittaciformes,Old World Parrots / Psittaculidae,Saudareos,Australasia,Sula Is.,https://dibird.com/species/citrine-lorikeet/,-
0,citrine-wagtail,LC - Least concern,"Yellow-hooded Wagtail, Citine Wagtail, Yellow-headed Wagtail","Budytes citreola, Motacila citreola, Motacilla citrinella",Perching Birds / Passeriformes,"Wagtails, Pipits / Motacillidae",Motacilla,Eurasia,widespread,https://dibird.com/species/citrine-wagtail/,OR
0,citrine-warbler,LC - Least concern,Citrine Redstart,"Trichas luteoviridis, Basileuterus luteoviridis",Perching Birds / Passeriformes,New World Warblers / Parulidae,Myiothlypis,South America,Venezuela to n Bolivia,https://dibird.com/species/citrine-warbler/,-
0,citrine-whiteeye,LC - Least concern,"Caroline White-eye, Caroline Islands White-eye, Caroline Islands White eye, Carolines White-eye",,Perching Birds / Passeriformes,White-eyes / Zosteropidae,Zosterops,Pacific ocean,"Palau Is., Caroline Is.",https://dibird.com/species/citrine-whiteeye/,-
0,citronbellied-attila,LC - Least concern,Citron bellied Attila,,Perching Birds / Passeriformes,"Tyrant Flycatchers, Calyptura / Tyrannidae",Attila,South America,w Amazonia,https://dibird.com/species/citronbellied-attila/,-
0,citronheaded-yellow-finch,LC - Least concern,"Citron-headed Yellow-Finch, Citron headed Yellow Finch, Citron-headed Yellowfinch",Emberiza luteocephala,Perching Birds / Passeriformes,Tanagers & Allies / Thraupidae,Sicalis,South America,Bolivia and nw Argentina,https://dibird.com/species/citronheaded-yellow-finch/,-
0,citronthroated-toucan,LC - Least concern,"Citron throated Toucan, Channel-billed Toucan (Citron-throated)",Ramphastos citrolaemus,"Woodpeckers, Toucans and relatives / Piciformes",Toucans / Ramphastidae,Ramphastos,South America,n Colombia and nw Venezuela,https://dibird.com/species/citronthroated-toucan/,-
0,clamorous-reed-warbler,LC - Least concern,"Indian Great Reed Warbler, Large-billed Reed-Warbler, Clamorous reed warbler, Southern Great Reed Warbler, Indian Great Reed-Warbler, Southern Great Reed-Warbler, Clamorous Reed-Warbler",Curruca stentorea,Perching Birds / Passeriformes,Reed Warblers & Allies / Acrocephalidae,Acrocephalus,"Eurasia, Oriental Region",widespread,https://dibird.com/species/clamorous-reed-warbler/,-
0,clapper-rail,LC - Least concern,,,"Cranes, Rails and relatives / Gruiformes","Rails, Crakes & Coots / Rallidae",Rallus,"Middle America, North America",e coast of US to Caribbean and coastal Belize,https://dibird.com/species/clapper-rail/,-
0,clappertons-spurfowl,LC - Least concern,"White Nile Clapperton Francolin, Uganda Clapperton Francolin, Abyssinian Clapperton Francolin, Black-spotted Francolin, Lake Chad Clapperton Francolin, Clapperton's Francolin","Francolinus clappertoni, Francolinus nigrosuamatus, Francolinus clappertonii",Сhickens and relatives / Galliformes,Pheasants & Allies / Phasianidae,Pternistis,Africa,"c, ne",https://dibird.com/species/clappertons-spurfowl/,-
0,claretbreasted-fruit-dove,LC - Least concern,"Red-bibbed Fruit-Dove, Red-breasted Fruit Dove, Claret-breasted Fruit-Dove, Red-breasted Fruit-Dove, Red-bibbed Fruit Dove, Red-throated Fruit Dove, Claret breasted Fruit Dove","Columbus viridis, Chrysoena viridis",Pigeons and Doves / Columbiformes,"Pigeons, Doves / Columbidae",Ptilinopus,Australasia,"Moluccas, New Guinea and Solomon Is.",https://dibird.com/species/claretbreasted-fruit-dove/,-
0,clarkes-weaver,EN - Endangered,Goland's Weaver,Heterhyphantes golandi,Perching Birds / Passeriformes,"Weavers, Widowbirds / Ploceidae",Ploceus,Africa,Kenya,https://dibird.com/species/clarkes-weaver/,-
0,clarks-grebe,LC - Least concern,Mexican Grebe,Podiceps clarkii,Grebes / Podicipediformes,Grebes / Podicipedidae,Aechmophorus,"Middle America, North America",w,https://dibird.com/species/clarks-grebe/,-
0,clarks-nutcracker,LC - Least concern,"Clarke's Nutcracker, Clark's Crow","Picicorvus columbianus, Corvus columbiana",Perching Birds / Passeriformes,"Crows, Jays / Corvidae",Nucifraga,North America,sw Canada and w USA; also n Mexico (local),https://dibird.com/species/clarks-nutcracker/,-
0,claudias-leaf-warbler,LC - Least concern,"Claudia's Warbler, Ticehurst's Leaf Warbler, Blyth's crowned willow warbler, Claudia's Leaf-Warbler","Acanthopneuste trochiloides claudiae, Seicercus claudiae",Perching Birds / Passeriformes,Leaf Warblers & Allies / Phylloscopidae,Phylloscopus,Oriental Region,"c, e China",https://dibird.com/species/claudias-leaf-warbler/,-
0,claycolored-sparrow,LC - Least concern,"Clay-colored chipping Sparrow, Clay-coloured Sparrow, Clay-coloured chipping Sparrow",Emberiza pallida,Perching Birds / Passeriformes,New World Sparrows / Passerellidae,Spizella,North America,c Canada to nc USA,https://dibird.com/species/claycolored-sparrow/,to w Mexico
0,claycolored-thrush,LC - Least concern,"Clay-colored Robin, Gray's Thrush, Clay-coloured Robin, Gray's Robin, Clay-coloured Thrush",,Perching Birds / Passeriformes,Thrushes / Turdidae,Turdus,"South America, Middle America",Mexico to Colombia,https://dibird.com/species/claycolored-thrush/,-
0,clicking-shrikebabbler,NE - Not evaluated,Clicking Shrike-Babbler,"Pteruthius aenobarbus, Allotrius intermedius",Perching Birds / Passeriformes,"Vireos, Greenlets, Shrike-babblers / Vireonidae",Pteruthius,Oriental Region,"Assam, India, e Myanmar to s China, s Vietnam",https://dibird.com/species/clicking-shrikebabbler/,-
0,cliff-flycatcher,LC - Least concern,"Northern Cliff Flycatcher, Cliff Flycatcher (Cliff)",Todus [] ferruginea,Perching Birds / Passeriformes,"Tyrant Flycatchers, Calyptura / Tyrannidae",Hirundinea,South America,widespread,https://dibird.com/species/cliff-flycatcher/,-
0,cliff-parakeet,LC - Least concern,"Bolivean monk parakeet, Monk Parakeet (Cliff), monk parakeet",Bolborrhynchus luchsi,Parrots / Psittaciformes,African & New World Parrots / Psittacidae,Myiopsitta,South America,c Bolivia,https://dibird.com/species/cliff-parakeet/,-
0,cloud-cisticola,LC - Least concern,"Tink-tink Cisticola, Pinc-pinc Cisticola, Spotted Cloud Cisticola, Tink-tink Grass-Warbler, Tink tink Cisticola",Sylvia textrix,Perching Birds / Passeriformes,Cisticolas & Allies / Cisticolidae,Cisticola,Africa,s,https://dibird.com/species/cloud-cisticola/,-
0,cloudforest-pygmy-owl,VU - Vulnerable,"Cloudforest Pygmy-Owl, Claudforest Pygmy-owl, Cloud-forest Pygmy-Owl, Cloud forest pygmy owl","Phalaenopsis nubicola, Glaucidium nubicula",Owls / Strigiformes,Owls / Strigidae,Glaucidium,South America,Colombia and Ecuador,https://dibird.com/species/cloudforest-pygmy-owl/,-
0,cloudforest-screech-owl,NT - Near threatened,"Cloudforest Screech-Owl, Cloud forest Screech Owl, Cloud-forest Screech-Owl","Megascops huberi, Otus marshalli, Otus huberi",Owls / Strigiformes,Owls / Strigidae,Megascops,South America,"c, s Peru",https://dibird.com/species/cloudforest-screech-owl/,-
0,clovenfeathered-dove,NT - Near threatened,Cloven feathered Dove,"Columba holosericea, Drepanophila holosericea",Pigeons and Doves / Columbiformes,"Pigeons, Doves / Columbidae",Drepanoptila,Australasia,New Caledonia,https://dibird.com/species/clovenfeathered-dove/,-
0,clubwinged-manakin,LC - Least concern,"Club-winged, Club winged Manakin","Allocotopterus deliciosus, Pipra deliciosa",Perching Birds / Passeriformes,Manakins / Pipridae,Machaeropterus,South America,sw Colombia to w Ecuador,https://dibird.com/species/clubwinged-manakin/,-
0,coal-tit,LC - Least concern,Coal titmouse,Parus ater,Perching Birds / Passeriformes,"Tits, Chickadees / Paridae",Periparus,Eurasia,widespread,https://dibird.com/species/coal-tit/,-
0,coalcrested-finch,NT - Near threatened,"Coal crested Finch, Coalcrest",Charitospiza eucosoma,Perching Birds / Passeriformes,Tanagers & Allies / Thraupidae,Charitospiza,South America,"c, e Brazil, ne Bolivia and n Argentina",https://dibird.com/species/coalcrested-finch/,-
0,coastal-cisticola,LC - Least concern,"Mombasa Black-backed Cisticola, Winding Cisticola (Coastal)",Cisticola haematocephala,Perching Birds / Passeriformes,Cisticolas & Allies / Cisticolidae,Cisticola,Africa,"coastal Somalia, Kenya and Tanzania",https://dibird.com/species/coastal-cisticola/,-
0,coastal-miner,LC - Least concern,,,Perching Birds / Passeriformes,Ovenbirds / Furnariidae,Geositta,South America,w Peru,https://dibird.com/species/coastal-miner/,-
0,cobaltrumped-parrotlet,LC - Least concern,"Blue-winged Parrotlet (Blue-winged), Cobalt-rumped Parrotlet",Psittaculus xanthopterygius,Parrots / Psittaciformes,African & New World Parrots / Psittacidae,Forpus,South America,"c, se",https://dibird.com/species/cobaltrumped-parrotlet/,-
0,cobaltwinged-parakeet,LC - Least concern,"Cobalt winged Parakeet, Blue-winged Parakeet",Sittace cyanoptera,Parrots / Psittaciformes,African & New World Parrots / Psittacidae,Brotogeris,South America,w Amazonia,https://dibird.com/species/cobaltwinged-parakeet/,-
0,cobbs-wren,LC - Least concern,"House Wren (Cobb's), house wren",,Perching Birds / Passeriformes,Wrens / Troglodytidae,Troglodytes,South America,Falkland Is.,https://dibird.com/species/cobbs-wren/,-
0,cocha-antshrike,NT - Near threatened,Choca Antshrike,Thamnophilus praeco,Perching Birds / Passeriformes,Antbirds / Thamnophilidae,Thamnophilus,South America,ne Ecuador,https://dibird.com/species/cocha-antshrike/,-
0,cochabamba-mountain-finch,EN - Endangered,"Slate-and-rufous Mountain-Finch, Cochabamba Mountain-Finch, Cochabamba Mountainfinch","Compospiza garleppi, Compsospiza garleppi, Cosmospiza garleppi",Perching Birds / Passeriformes,Tanagers & Allies / Thraupidae,Poospiza,South America,Bolivia,https://dibird.com/species/cochabamba-mountain-finch/,-
0,cockatiel,LC - Least concern,"Weero, Quarrion, Crested Parrot, Cockatoo Parrot","Leptolophus hollandicus, Psittacus hollandicus",Parrots / Psittaciformes,Cockatoos / Cacatuidae,Nymphicus,Australasia,Australia,https://dibird.com/species/cockatiel/,-
0,cockerells-fantail,LC - Least concern,"White winged Fantail, White-winged Fantail",Sauloprocta cockerelli,Perching Birds / Passeriformes,Fantails / Rhipiduridae,Rhipidura,Australasia,Solomon Is.,https://dibird.com/species/cockerells-fantail/,-
0,cocktailed-tyrant,VU - Vulnerable,Cock tailed Tyrant,Gallita tricolor,Perching Birds / Passeriformes,"Tyrant Flycatchers, Calyptura / Tyrannidae",Alectrurus,South America,"n Bolivia, Paraguay and se Brazil",https://dibird.com/species/cocktailed-tyrant/,-
0,cocoa-thrush,LC - Least concern,Cocoa Thrush (Cocoa),,Perching Birds / Passeriformes,Thrushes / Turdidae,Turdus,South America,s Lesser Antilles and n Amazonia,https://dibird.com/species/cocoa-thrush/,-
0,cocoa-woodcreeper,LC - Least concern,Cocoa Woodhewer,"Xiphorhynchus sussurans, Dendrocolaptes susurrans",Perching Birds / Passeriformes,Ovenbirds / Furnariidae,Xiphorhynchus,"South America, Middle America",e Guatemala to n Venezuela,https://dibird.com/species/cocoa-woodcreeper/,-
0,cocoi-heron,LC - Least concern,White-necked Heron,,Pelicans and relatives / Pelecaniformes,"Herons, Bitterns / Ardeidae",Ardea,South America,widespread,https://dibird.com/species/cocoi-heron/,-
0,coconut-lorikeet,LC - Least concern,"Rainbow Lorikeet (Coconut), Coconut Lorikeet (Coconut)",Psittacus haematod . [sic],Parrots / Psittaciformes,Old World Parrots / Psittaculidae,Trichoglossus,Australasia,"s Moluccas, w New Guinea and e to Loyalty Is.",https://dibird.com/species/coconut-lorikeet/,-
0,cocos-cuckoo,VU - Vulnerable,Cocos Island Cuckoo,,Cuckoos and relatives / Cuculiformes,Cuckoos / Cuculidae,Coccyzus,Middle America,Isla del Cocos,https://dibird.com/species/cocos-cuckoo/,-
0,cocos-finch,VU - Vulnerable,"Tuamotu Rail, Coco Island Finch, Cocos Island Finch","Cactornis inornatus, Pinaroloxia inornata",Perching Birds / Passeriformes,Tanagers & Allies / Thraupidae,Pinaroloxias,Middle America,Isla del Cocos,https://dibird.com/species/cocos-finch/,-
0,cocos-flycatcher,VU - Vulnerable,Cocos Island Flycatcher,,Perching Birds / Passeriformes,"Tyrant Flycatchers, Calyptura / Tyrannidae",Nesotriccus,Middle America,Isla del Cocos,https://dibird.com/species/cocos-flycatcher/,-
0,coiba-spinetail,NT - Near threatened,Rusty-backed Spinetail (Coiba),"Certhiaxis dissita, Cranioleuca vulpina dissita",Perching Birds / Passeriformes,Ovenbirds / Furnariidae,Cranioleuca,Middle America,Panama (I. Coiba),https://dibird.com/species/coiba-spinetail/,-
0,coleto,LC - Least concern,"Bald Starling, Lad starling",Gracula calva,Perching Birds / Passeriformes,"Starlings, Rhabdornis / Sturnidae",Sarcops,Oriental Region,Philippines,https://dibird.com/species/coleto/,-
0,colima-pygmy-owl,LC - Least concern,"Colima Pygmy-Owl, Palm Pygmy Owl, Colima pygmy owl",Phalaenopsis palmarum,Owls / Strigiformes,Owls / Strigidae,Glaucidium,Middle America,w Mexico,https://dibird.com/species/colima-pygmy-owl/,-
0,colima-warbler,LC - Least concern,,"Oreothlypis crissalis, Helminthophila crissalis, Vermivora crissalis",Perching Birds / Passeriformes,New World Warblers / Parulidae,Leiothlypis,North America,sw Texas (USA) to c Mexico,https://dibird.com/species/colima-warbler/,Mexico
0,collared-antshrike,LC - Least concern,White-naped Antshrike,"Sakesphorus bernardi, Tamnophilus [sic] bernardi",Perching Birds / Passeriformes,Antbirds / Thamnophilidae,Thamnophilus,South America,w Ecuador and w Peru,https://dibird.com/species/collared-antshrike/,-
0,collared-aracari,LC - Least concern,"Spot-chested Aracari, Banded Aracari, Collared Araçari, Collared Aracari (Collared), Ringed Aracari, Spot-chested Araçari",Ramphastos torquatus,"Woodpeckers, Toucans and relatives / Piciformes",Toucans / Ramphastidae,Pteroglossus,"South America, Middle America",Mexico to Venezuela,https://dibird.com/species/collared-aracari/,-
0,collared-babbler,LC - Least concern,,,Perching Birds / Passeriformes,Ground Babblers / Pellorneidae,Gampsorhynchus,Oriental Region,"Myanmar, Thailand, Laos, Vietnam and Malay Pen.",https://dibird.com/species/collared-babbler/,-
0,collared-brushturkey,LC - Least concern,"Collared Scrub-Turkey, Red-legged Brushturkey, Red-legged Brush-turkey, Brown-collared Brushturkey, Brown Collared Brush-Turkey, Collared Brush-turkey, Red-legged brush turkey, Brown-collared Brush-turkey, Brown-collared Talegalla, Brown collared Brush turkey, Brown-collared Brush Turkey","Telegalla jobiensis, Talegallus jobiensis",Сhickens and relatives / Galliformes,Megapodes / Megapodiidae,Talegalla,Australasia,New Guinea,https://dibird.com/species/collared-brushturkey/,-
0,collared-bush-robin,LC - Least concern,"Collared Bush-Robin, Johnston's Bush-Robin, Formosa Bush-Robin, Johnstone's Bush Robin, Taiwan Bush Robin","Luscinia johnstoniae, Erithacus johnstoniae, Ianthia johnstoniae",Perching Birds / Passeriformes,"Chats, Old World Flycatchers / Muscicapidae",Tarsiger,Oriental Region,Taiwan,https://dibird.com/species/collared-bush-robin/,-
0,collared-crescentchest,LC - Least concern,"Collared Crescent-chest, Collared or Double-collared Crescent-chest",Synallaxis torquatus,Perching Birds / Passeriformes,Crescentchests / Melanopareiidae,Melanopareia,South America,"e, c Brazil and ne Paraguay",https://dibird.com/species/collared-crescentchest/,-
0,collared-crow,NT - Near threatened,"Collared Crow (nominate), Collared Crow (nominal form), White-necked Crow",Corvus pectoralis,Perching Birds / Passeriformes,"Crows, Jays / Corvidae",Corvus,"Eurasia, Oriental Region","e, c China, n Vietnam",https://dibird.com/species/collared-crow/,-
0,collared-falconet,LC - Least concern,"Collared falcon, Red-legged Falconet, Red-thighed Falconet, Red-breasted Falconet",Falco caerulescens,Falcons / Falconiformes,"Caracaras, Falcons / Falconidae",Microhierax,Oriental Region,ne India through se Asia,https://dibird.com/species/collared-falconet/,-
0,collared-finchbill,LC - Least concern,"Black-headed Finch-bill, Swinhoe's finch-billed bulbul, Collared Finch-billed Bulbul, Chinese Finch-bill",,Perching Birds / Passeriformes,Bulbuls / Pycnonotidae,Spizixos,Oriental Region,"s, c China, n Vietnam, Taiwan",https://dibird.com/species/collared-finchbill/,-
0,collared-flycatcher,LC - Least concern,White-collared Flycatcher,"Muscicapa albicollis, Ficedula collaris",Perching Birds / Passeriformes,"Chats, Old World Flycatchers / Muscicapidae",Ficedula,Eurasia,"c, sc Europe through w Russia",https://dibird.com/species/collared-flycatcher/,sc AF
0,collared-forest-falcon,LC - Least concern,"Collared Micrastur, Collared Forest-Falcon",Sparvius semi torquatus,Falcons / Falconiformes,"Caracaras, Falcons / Falconidae",Micrastur,"South America, Middle America",c Mexico to n Argentina,https://dibird.com/species/collared-forest-falcon/,-
0,collared-gnatwren,LC - Least concern,,Rhamphocaenus collaris,Perching Birds / Passeriformes,Gnatcatchers / Polioptilidae,Microbates,South America,"n, w Amazonia",https://dibird.com/species/collared-gnatwren/,-
0,collared-grosbeak,LC - Least concern,"Allied Grosbeak, Allied Hawfinch","Coccothraustes affinis, Hesperiphona affinis",Perching Birds / Passeriformes,"Finches, Euphonias / Fringillidae",Mycerobas,Oriental Region,Himalayas,https://dibird.com/species/collared-grosbeak/,-
