,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,clutch/brood/litter size,eats,geographic distribution includes,habitat,hearing threshold,locomotion,mineralized skeleton contains,population trend,trophic guild,visual system,biogeographic realm,body mass,ecoregion,hearing range,type specimen repository,has ectoparasite,ecomorphological guild,conservation status,foraging habitat,life span,prenatal development duration,weight,parasitized by,preys on,mutualistic with,is vector for,genome size,body shape,diet includes,mating system,native range includes,parental care,litters per year,social system,body length,mineralized tissue contains,reproduction,Total length,water depth,visits flowers of,egg mass,body temperature,behavioral circadian rhythm,growth rate,bill length,tarsus length,temperature at range midpoint latitude,host of,basal metabolic rate,has host,parasite of,tarsometatarsus + middle toe length,trophic level
0,Blackburnian warbler,Animalia,Chordata,Aves,https://eol.org/pages/45511100,Setophaga fusca (Blackburnian Warbler) is a species of birds in the family New World warblers. They rely on flight to move around.,tympanic middle ear,4,Miconia theizans (Bonpl.) Cogn.,United States,"tropical,terrestrial",10 dB,flight,apatite,Increasing,insectivore,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blackcap babbler,Animalia,Chordata,Aves,https://eol.org/pages/45514631,Turdoides reinwardtii (Blackcap Babbler) is a species of birds in the family Leiothrichidae. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,,Benin,"tropical,terrestrial",10 dB,bipedal movement,apatite,Decreasing,,corneal eyes,Afrotropics,91 g,Northern Congolian Forest-Savanna Mosaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blackcap illadopsis,Animalia,Chordata,Aves,https://eol.org/pages/45515448,Illadopsis cleaveri (Blackcap Illadopsis) is a species of birds in the family Pellorneidae. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,,Cameroon,"subtropical,terrestrial",10 dB,bipedal movement,apatite,Decreasing,,corneal eyes,Afrotropics,34 g,Cameroonian Highlands Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blackcapped babbler,Animalia,Chordata,Aves,https://eol.org/pages/45514631,Turdoides reinwardtii (Blackcap Babbler) is a species of birds in the family Leiothrichidae. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,,Benin,"tropical,terrestrial",10 dB,bipedal movement,apatite,Decreasing,,corneal eyes,Afrotropics,91 g,Northern Congolian Forest-Savanna Mosaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blackish antbird,Animalia,Chordata,Aves,https://eol.org/pages/49802285,Cercomacroides nigrescens (Blackish Antbird) is a species of birds in the family typical antbirds. They rely on flight to move around.,tympanic middle ear,,,South Atlantic,,10 dB,flight,apatite,,,corneal eyes,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blackish chattyrant,Animalia,Chordata,Aves,https://eol.org/pages/45513254,Ochthoeca nigrita (Blackish Chat Tyrant) is a species of birds in the family tyrant flycatchers. They rely on flight to move around.,tympanic middle ear,,,,subtropical,10 dB,flight,apatite,,,corneal eyes,,,,5000 Hz,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blackish cinclodes,Animalia,Chordata,Aves,https://eol.org/pages/917661,Cinclodes antarcticus (Blackish Cinclodes) is a species of birds in the family ovenbirds. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,,Chile,,10 dB,bipedal movement,apatite,,,corneal eyes,The Neotropics,68.90000000000001 g,Magellanic Subpolar Forests,5000 Hz,,Picicola fusca Cicchino & Emerson 1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blackish cuckooshrike,Animalia,Chordata,Aves,https://eol.org/pages/52570923,Edolisoma coerulescens (Blackish Cuckooshrike) is a species of birds in the family cuckoo-shrikes. They rely on flight to move around.,tympanic middle ear,,,,terrestrial,10 dB,flight,apatite,Stable,,corneal eyes,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blackish nightjar,Animalia,Chordata,Aves,https://eol.org/pages/45512194,Nyctipolus nigrescens (Blackish Nightjar) is a species of birds in the family Caprimulgidae. They rely on flight to move around.,tympanic middle ear,,,Bolivia,terrestrial,20 dB,bipedal movement,apatite,Stable,,corneal eyes,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blackish oystercatcher,Animalia,Chordata,Aves,https://eol.org/pages/1049049,Haematopus ater (Blackish Oystercatcher) is a species of birds in the family oystercatchers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,Fissurellidae (keyhole limpets),United States,"intertidal zone,marine",,flight,apatite,Unknown,,corneal eyes,The Neotropics,850 g,,,,,nectonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blackish pewee,Animalia,Chordata,Aves,https://eol.org/pages/45513169,Contopus nigrescens (Blackish Pewee) is a species of birds in the family tyrant flycatchers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,,Brazil,"tropical,terrestrial",10 dB,bipedal movement,apatite,Decreasing,,corneal eyes,The Neotropics,10 g,Xingu-Tocantins-Araguaia Moist Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blackish rail,Animalia,Chordata,Aves,https://eol.org/pages/915930,Pardirallus nigricans (Blackish Rail) is a species of birds in the family rails. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,,South Pacific,terrestrial,20 dB,flight,apatite,Unknown,,corneal eyes,The Neotropics,217 g,Humid Chaco,,"University Museum of Zoology, Cambridge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blackish tapaculo,Animalia,Chordata,Aves,https://eol.org/pages/45512949,Scytalopus latrans (Blackish Tapaculo) is a species of birds in the family tapaculos. They rely on flight to move around.,tympanic middle ear,,,Colombia,"montane forest,freshwater habitat",10 dB,bipedal movement,apatite,Stable,,corneal eyes,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blackpoll warbler,Animalia,Chordata,Aves,https://eol.org/pages/45511104,Setophaga striata (Blackpoll Warbler) is a species of birds in the family New World warblers. They are listed as near threatened by IUCN. They rely on flight to move around.,tympanic middle ear,5,Parthenocissus quinquefolia (L.) Planchon (Virginia creeper),United States,"marine,terrestrial",,flight,apatite,Decreasing,insectivore,corneal eyes,,,,,,,,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blacksmith lapwing,Animalia,Chordata,Aves,https://eol.org/pages/1049061,Vanellus armatus (Blacksmith Lapwing) is a species of birds in the family Charadriidae. They are associated with freshwater habitat. They are found in Afrotropics. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.,,,Pisanianura,United States,mountain,,flight,,Increasing,invertivore,corneal eyes,Afrotropics,,,,,,,,freshwater,18.6 years,29 days,156 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blacksmith thrush,Animalia,Chordata,Aves,https://eol.org/pages/1052752,Turdus subalaris (Blacksmith Thrush) is a species of birds in the family thrushes. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,Clusia (attorney),Brazil,,10 dB,flight,apatite,,,corneal eyes,The Neotropics,53 g,Campos Rupestres Montane Savanna,5000 Hz,,,,,,,,,Plasmodium subgen. Plasmodium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blackstart,Animalia,Chordata,Aves,https://eol.org/pages/45514815,Oenanthe melanura (Blackstart) is a species of birds in the family Old World flycatchers. They rely on flight to move around.,tympanic middle ear,,,Jordan,"mountain,terrestrial",10 dB,bipedal movement,apatite,Stable,,corneal eyes,,,,5000 Hz,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blackthroat,Animalia,Chordata,Aves,https://eol.org/pages/45517507,Calliope obscura (Blackthroat) is a species of birds in the family Old World flycatchers. They are listed as vulnerable by IUCN. They rely on flight to move around.,tympanic middle ear,,,China,"coniferous forest,terrestrial",10 dB,bipedal movement,apatite,Decreasing,,corneal eyes,,,,5000 Hz,,,,vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blanfords lark,Animalia,Chordata,Aves,https://eol.org/pages/45515358,Calandrella blanfordi (Blanford's Lark) is a species of birds in the family larks. They rely on flight to move around.,otoliths,,,Djibouti,,10 dB,bipedal movement,apatite,,,corneal eyes,,,,1000 Hz,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blanfords rosefinch,Animalia,Chordata,Aves,https://eol.org/pages/45517676,Agraphospiza rubescens (Blanford's Rosefinch) is a species of birds in the family finches. They rely on flight to move around.,otoliths,,,Bhutan,terrestrial,10 dB,bipedal movement,apatite,Stable,,corneal eyes,,,,1000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blanfords snowfinch,Animalia,Chordata,Aves,https://eol.org/pages/1052125,Pyrgilauda blanfordi (Blanford's Snowfinch) is a species of birds in the family Old World sparrows. They rely on flight to move around.,tympanic middle ear,,,China,"temperate,terrestrial",10 dB,bipedal movement,apatite,Stable,,corneal eyes,,,,5000 Hz,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blood pheasant,Animalia,Chordata,Aves,https://eol.org/pages/45516003,Ithaginis cruentus (Blood Pheasant) is a species of birds in the family Phasianidae. They are listed in cites appendix ii. They are found in the palearctic and the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,,,China,"mountain,terrestrial",20 dB,flight,apatite,Decreasing,,corneal eyes,the palearctic,,,,"Harvard UNiversity, Museum of Comparative Zoology",,,cites appendix ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blue Mountain vireo,Animalia,Chordata,Aves,https://eol.org/pages/45509936,Vireo osburni (Blue Mountain Vireo) is a species of birds in the family vireos. They are listed as near threatened by IUCN. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,,United States,"mountain,terrestrial",10 dB,bipedal movement,apatite,Decreasing,,corneal eyes,The Neotropics,19.9 g,,,,,,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blue bunting,Animalia,Chordata,Aves,https://eol.org/pages/1052777,Cyanocompsa parellina (Blue Bunting) is a species of birds in the family cardinals. They are found in The Neotropics and The Nearctic. They rely on flight to move around.,tympanic middle ear,,,United States,terrestrial,10 dB,flight,apatite,Decreasing,,corneal eyes,The Neotropics,24 g,,,,,,,,10.8 years,,15.7 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blue cotinga,Animalia,Chordata,Aves,https://eol.org/pages/45509870,Cotinga nattererii (Blue Cotinga) is a species of birds in the family cotingas. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,,Brazil,"forest,terrestrial",10 dB,bipedal movement,apatite,Decreasing,,corneal eyes,The Neotropics,,Chocó-DariéN Moist Forests,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blue coua,Animalia,Chordata,Aves,https://eol.org/pages/1047944,Coua caerulea (Blue Coua) is a species of birds in the family Cuculidae. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,,Madagascar,"marine,terrestrial",20 dB,bipedal movement,apatite,Decreasing,,corneal eyes,Afrotropics,270 g,,,,,,,,,,,,Calumma (Madagascar & Seychelles Islands Chameleons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blue crane,Animalia,Chordata,Aves,https://eol.org/pages/45515094,Grus paradisea (Blue Crane) is a species of birds in the family cranes. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,,United States,,20 dB,flight,apatite,,,corneal eyes,Afrotropics,3633 g,Highveld Grasslands,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blue cuckooshrike,Animalia,Chordata,Aves,https://eol.org/pages/58799940,Coracina azurea (Blue Cuckoo Shrike) is a species of  in the family cuckoo-shrikes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blue dacnis,Animalia,Chordata,Aves,https://eol.org/pages/45510440,Dacnis cayana (Blue Dacnis) is a species of birds in the family tanagers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,Trichilia (trichilia),United States,terrestrial,,flight,,Stable,,corneal eyes,The Neotropics,15.5 g,,,,,,,,,,,,,Coussapoa microcarpa (Schott) Rizzini,Myrsine coriacea (Sw.) R. Br. (leathery colicwood),1.307 pg,,,,,,,,,,,,,,,,,,,,,,,,,,
